"country","year","ae_ton_manu"
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",66.10217
"mlt","2009",52.56461
"mlt","2010",63.2466
"mlt","2011",50.39854
"mlt","2012",63.90549
"mlt","2013",88.19593
"mlt","2014",95.33433
"mlt","2015",99.45416
"mlt","2016",94.83482
"mlt","2017",89.61358
"mlt","2018",81.29677
"mlt","2019",72.79701
"mlt","2020",63.62001
"mlt","2021",64.46419
"mlt","2022",64.80597
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",48828.69556
"nld","2009",44830.41963
"nld","2010",47857.11026
"nld","2011",46898.56232
"nld","2012",45798.90092
"nld","2013",45218.29586
"nld","2014",44595.96388
"nld","2015",45090.30244
"nld","2016",46212.55941
"nld","2017",47342.12019
"nld","2018",47042.47597
"nld","2019",46456.58709
"nld","2020",45532.70393
"nld","2021",46285.31529
"nld","2022",42168.57346
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",9964.067
"nzl","2009",9451.182564
"nzl","2010",10126.33901
"nzl","2011",9864.3673686
"nzl","2012",10231.039615
"nzl","2013",10893.566513
"nzl","2014",11865.957265
"nzl","2015",11854.21001
"nzl","2016",11405.866121
"nzl","2017",11388.872426
"nzl","2018",11257.911665
"nzl","2019",11544.902449
"nzl","2020",10398.750579
"nzl","2021",10199.580834
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",14359.74307
"nor","2009",11873.05777
"nor","2010",12758.43094
"nor","2011",12740.68246
"nor","2012",12391.39182
"nor","2013",12326.55384
"nor","2014",11885.33052
"nor","2015",12213.40406
"nor","2016",11908.13599
"nor","2017",12232.83146
"nor","2018",12224.62323
"nor","2019",11799.62193
"nor","2020",11762.05981
"nor","2021",12092.03516
"nor","2022",11848.43366
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",69358.98405
"pol","2009",58033.07254
"pol","2010",62832.40949
"pol","2011",66446.96931
"pol","2012",65278.23752
"pol","2013",63661.84563
"pol","2014",64098.48168
"pol","2015",62960.36771
"pol","2016",63743.35404
"pol","2017",67094.85965
"pol","2018",68807.54655
"pol","2019",68020.94143
"pol","2020",64209.01113
"pol","2021",66107.35612
"pol","2022",62916.71107
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",19459.838
"prt","2009",16193.153
"prt","2010",17134.6613
"prt","2011",15427.9903
"prt","2012",14663.0992
"prt","2013",15949.4462
"prt","2014",15763.2819
"prt","2015",16206.8418
"prt","2016",15011.0216
"prt","2017",15680.2368
"prt","2018",15058.5771
"prt","2019",15442.8068
"prt","2020",14933.8846
"prt","2021",14209.0847
"prt","2022",13872.57674
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",39524.30756
"rou","2009",28661.45469
"rou","2010",30745.74027
"rou","2011",31519.95498
"rou","2012",31250.21454
"rou","2013",26024.74895
"rou","2014",26192.83686
"rou","2015",24334.02073
"rou","2016",24502.62198
"rou","2017",24871.54375
"rou","2018",25702.74015
"rou","2019",25673.30701
"rou","2020",26423.72638
"rou","2021",26294.171
"rou","2022",23311.62703
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",20183.5632
"svk","2009",18306.44854
"svk","2010",18651.89525
"svk","2011",19059.90244
"svk","2012",17367.40214
"svk","2013",17052.79415
"svk","2014",16901.89883
"svk","2015",16741.25523
"svk","2016",16939.80198
"svk","2017",17420.01328
"svk","2018",17753.11084
"svk","2019",15656.75451
"svk","2020",14467.37371
"svk","2021",16953.22591
"svk","2022",14404.54974
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",3478.17196
"svn","2009",2775.2946
"svn","2010",2803.20013
"svn","2011",2604.59077
"svn","2012",2509.00597
"svn","2013",2592.32928
"svn","2014",2648.39828
"svn","2015",2553.5639
"svn","2016",2569.42416
"svn","2017",2741.67516
"svn","2018",2880.99594
"svn","2019",2855.68765
"svn","2020",2723.60921
"svn","2021",2797.44024
"svn","2022",2727.95426
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",107092.43921
"esp","2009",90346.98711
"esp","2010",92849.20514
"esp","2011",88339.04186
"esp","2012",86624.37033
"esp","2013",82880.62086
"esp","2014",81586.34966
"esp","2015",81676.25533
"esp","2016",82802.4525
"esp","2017",82756.53365
"esp","2018",83720.47563
"esp","2019",81469.45948
"esp","2020",75341.31215
"esp","2021",79353.97395
"esp","2022",74416.57191
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",18322.24372
"swe","2009",14594.06742
"swe","2010",17637.28008
"swe","2011",16639.9303
"swe","2012",15886.57287
"swe","2013",14914.64919
"swe","2014",14782.97731
"swe","2015",15075.70535
"swe","2016",15237.0413
"swe","2017",15063.74968
"swe","2018",15069.0063
"swe","2019",15096.05454
"swe","2020",13064.95292
"swe","2021",14244.49731
"swe","2022",13817.9159
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",10477.72374
"che","2009",9887.64674
"che","2010",10165.008
"che","2011",9640.80933
"che","2012",9373.32597
"che","2013",9474.44027
"che","2014",9013.6096
"che","2015",8238.64478
"che","2016",8156.88502
"che","2017",8137.76682
"che","2018",7922.89981
"che","2019",7780.14055
"che","2020",7421.8139
"che","2021",7429.17493
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
