"country","year","chain_value_land"
"pol","2021",84566
"pol","2022",NA
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",3133.8
"prt","2009",2967.5
"prt","2010",3149.3
"prt","2011",3320.2
"prt","2012",3039.8
"prt","2013",2961.4
"prt","2014",2917.3
"prt","2015",3102.4
"prt","2016",3130.2
"prt","2017",3215.6
"prt","2018",3312.5
"prt","2019",3520.4
"prt","2020",3271.6
"prt","2021",3497.5
"prt","2022",NA
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",30336.6
"rou","2009",31532.4
"rou","2010",22135.7
"rou","2011",15661.8
"rou","2012",22486.9
"rou","2013",24413.9
"rou","2014",28600.6
"rou","2015",33733.1
"rou","2016",40654.3
"rou","2017",45145.7
"rou","2018",46251.7
"rou","2019",46592.2
"rou","2020",39454.8
"rou","2021",41201.1
"rou","2022",45092.4
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",87303.4
"srb","2009",78555.5
"srb","2010",87020.6
"srb","2011",89604.6
"srb","2012",86235.6
"srb","2013",90019.5
"srb","2014",88241.1
"srb","2015",92789.2
"srb","2016",97754.2
"srb","2017",104347
"srb","2018",115144.1
"srb","2019",124337.6
"srb","2020",110542.8
"srb","2021",129977.2
