"country","year","ae_ton_water"
"swe","2012",2161.81527
"swe","2013",2042.51239
"swe","2014",1903.37285
"swe","2015",1791.97348
"swe","2016",1704.164
"swe","2017",1629.70359
"swe","2018",1531.61041
"swe","2019",1398.31856
"swe","2020",1302.6493
"swe","2021",1248.36405
"swe","2022",1190.51085
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",4063.96405
"che","2009",3933.65847
"che","2010",4002.63687
"che","2011",4004.32193
"che","2012",4096.59759
"che","2013",4046.10868
"che","2014",4103.99754
"che","2015",4202.41403
"che","2016",4150.82928
"che","2017",4084.40901
"che","2018",4073.94862
"che","2019",4060.50145
"che","2020",4021.07459
"che","2021",3905.6155
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",44604.5
"gbr","2009",40319.4
"gbr","2010",35571.3
"gbr","2011",33526.9
"gbr","2012",32164.4
"gbr","2013",29286.8
"gbr","2014",27392.9
"gbr","2015",27221.5
"gbr","2016",27117.4
"gbr","2017",28111.6
"gbr","2018",28407.6
"gbr","2019",27934.2
"gbr","2020",26552.3
"gbr","2021",26551.4
"gbr","2022",27187
"gbr","2023",NA
