"country","year","ae_ton_health"
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",3683.00156
"ita","2009",3589.29304
"ita","2010",4032.02404
"ita","2011",3837.75564
"ita","2012",4016.37336
"ita","2013",3818.32526
"ita","2014",3764.50021
"ita","2015",3328.19124
"ita","2016",3915.71251
"ita","2017",3821.54754
"ita","2018",3808.29094
"ita","2019",4015.53734
"ita","2020",4430.59542
"ita","2021",3938.76994
"ita","2022",3667.96195
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",64.35426
"lva","2009",52.68486
"lva","2010",78.33904
"lva","2011",55.98448
"lva","2012",49.00511
"lva","2013",53.03768
"lva","2014",54.0397
"lva","2015",51.003
"lva","2016",51.10784
"lva","2017",49.67276
"lva","2018",43.18225
"lva","2019",68.89204
"lva","2020",79.7904
"lva","2021",72.93388
"lva","2022",71.08903
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",41.24236
"ltu","2009",50.71524
"ltu","2010",49.23428
"ltu","2011",52.50758
"ltu","2012",42.41902
"ltu","2013",45.1929
"ltu","2014",51.91714
"ltu","2015",45.76316
"ltu","2016",54.70313
"ltu","2017",58.12041
"ltu","2018",66.40758
"ltu","2019",61.51095
"ltu","2020",40.10975
"ltu","2021",9.68719
"ltu","2022",9.26942
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",36.54218
"lux","2009",38.74894
"lux","2010",45.39345
"lux","2011",37.32568
"lux","2012",44.34656
"lux","2013",48.85525
"lux","2014",43.89885
"lux","2015",55.46966
"lux","2016",65.03235
"lux","2017",58.5393
"lux","2018",60.99337
"lux","2019",74.26271
"lux","2020",45.83206
"lux","2021",64.31631
"lux","2022",55.11937
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",22.0195
"mlt","2009",19.68088
"mlt","2010",25.14191
"mlt","2011",19.53055
"mlt","2012",29.3125
"mlt","2013",29.3396
"mlt","2014",31.25
"mlt","2015",35.54969
"mlt","2016",41.05838
"mlt","2017",35.5166
"mlt","2018",27.19492
"mlt","2019",24.10605
"mlt","2020",23.38446
"mlt","2021",22.57558
"mlt","2022",22.97676
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",1436.02208
"nld","2009",1496.34897
"nld","2010",1902.82117
"nld","2011",1546.71234
"nld","2012",1817.04153
"nld","2013",1880.4326
"nld","2014",1543.88882
"nld","2015",1630.99207
"nld","2016",1642.30827
"nld","2017",1590.17964
"nld","2018",1551.85159
"nld","2019",1423.55018
"nld","2020",1284.51041
"nld","2021",1357.80017
"nld","2022",1194.33508
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",397.51994941
"nzl","2009",391.6260928
"nzl","2010",409.07021504
"nzl","2011",393.29581917
"nzl","2012",405.30057026
"nzl","2013",389.91600191
"nzl","2014",365.55666487
"nzl","2015",351.2296331
"nzl","2016",349.70101138
"nzl","2017",357.19704684
"nzl","2018",351.46610877
"nzl","2019",362.04247754
"nzl","2020",331.18329591
"nzl","2021",335.01392364
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",139.17021
"nor","2009",154.34753
"nor","2010",162.39138
"nor","2011",143.87075
"nor","2012",137.03603
"nor","2013",134.33097
"nor","2014",117.94216
"nor","2015",123.85838
"nor","2016",123.38117
"nor","2017",118.65874
"nor","2018",103.01722
"nor","2019",98.97418
"nor","2020",93.4752
"nor","2021",120.50893
"nor","2022",115.27362
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",1382.45163
"pol","2009",1443.62812
"pol","2010",1601.96794
"pol","2011",1515.3905
"pol","2012",1483.2804
"pol","2013",1395.98931
"pol","2014",1337.82459
"pol","2015",1376.70212
"pol","2016",2456.97221
"pol","2017",3157.68033
"pol","2018",2899.5601
"pol","2019",2631.74764
"pol","2020",2966.4583
"pol","2021",3388.56813
"pol","2022",3178.35345
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",550.5772
"prt","2009",615.1683
"prt","2010",483.3218
"prt","2011",461.0828
"prt","2012",402.6231
"prt","2013",459.283
"prt","2014",464.8023
"prt","2015",476.4114
"prt","2016",503.9049
"prt","2017",481.2357
"prt","2018",472.6081
"prt","2019",462.5701
"prt","2020",505.2193
"prt","2021",398.501
"prt","2022",377.63007
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",354.45075
"rou","2009",345.77904
"rou","2010",339.46725
"rou","2011",328.65296
"rou","2012",333.81405
"rou","2013",334.50091
"rou","2014",342.62786
"rou","2015",346.97828
"rou","2016",365.77152
"rou","2017",392.32069
"rou","2018",401.07129
"rou","2019",404.35536
"rou","2020",388.26682
"rou","2021",414.10417
"rou","2022",396.08629
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
