"country","year","ae_ton_real"
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",240.90912923
"nzl","2009",252.71858094
"nzl","2010",255.3259141
"nzl","2011",241.74058793
"nzl","2012",246.3959669
"nzl","2013",236.60563269
"nzl","2014",230.45651228
"nzl","2015",215.79837415
"nzl","2016",202.3427844
"nzl","2017",176.30058542
"nzl","2018",162.54721893
"nzl","2019",155.30767103
"nzl","2020",145.91320481
"nzl","2021",137.26012664
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",113.81627
"nor","2009",127.10122
"nor","2010",197.57718
"nor","2011",149.36309
"nor","2012",124.14889
"nor","2013",145.95491
"nor","2014",119.48442
"nor","2015",115.01856
"nor","2016",119.68139
"nor","2017",105.04493
"nor","2018",138.92477
"nor","2019",90.24685
"nor","2020",86.85088
"nor","2021",89.53285
"nor","2022",88.00217
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",656.6718
"pol","2009",669.73098
"pol","2010",738.2841
"pol","2011",716.96922
"pol","2012",689.5519
"pol","2013",653.76696
"pol","2014",663.18744
"pol","2015",697.58478
"pol","2016",1265.03345
"pol","2017",1502.32385
"pol","2018",1265.78388
"pol","2019",1185.13083
"pol","2020",1217.23533
"pol","2021",1398.89398
"pol","2022",1342.90236
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",29.9357
"prt","2009",26.9732
"prt","2010",25.5442
"prt","2011",18.4781
"prt","2012",14.8765
"prt","2013",15.7187
"prt","2014",15.9931
"prt","2015",15.1674
"prt","2016",15.8637
"prt","2017",15.6567
"prt","2018",16.4769
"prt","2019",17.1693
"prt","2020",13.9781
"prt","2021",21.5976
"prt","2022",20.87795
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",480.6266
"rou","2009",468.92216
"rou","2010",472.53341
"rou","2011",445.29222
"rou","2012",443.21585
"rou","2013",438.10031
"rou","2014",441.27653
"rou","2015",439.02714
"rou","2016",453.57522
"rou","2017",492.2418
"rou","2018",502.18666
"rou","2019",503.06357
"rou","2020",470.4917
"rou","2021",508.17222
"rou","2022",478.9009
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",298.44369
"svk","2009",298.93975
"svk","2010",320.27729
"svk","2011",270.61783
"svk","2012",284.07269
"svk","2013",314.71742
"svk","2014",242.74819
"svk","2015",239.22146
"svk","2016",247.68593
"svk","2017",264.7162
"svk","2018",278.16618
"svk","2019",298.40985
"svk","2020",280.91135
"svk","2021",320.81907
"svk","2022",310.26403
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",106.41402
"svn","2009",91.26933
"svn","2010",85.80565
"svn","2011",77.4432
"svn","2012",61.76439
"svn","2013",62.1274
"svn","2014",39.6413
"svn","2015",40.39086
"svn","2016",50.64331
"svn","2017",44.92101
"svn","2018",45.33258
"svn","2019",45.50444
"svn","2020",37.50104
"svn","2021",33.68244
"svn","2022",36.13041
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",397.26895
"esp","2009",431.8649
"esp","2010",521.9279
"esp","2011",544.95416
"esp","2012",490.28258
"esp","2013",401.62145
"esp","2014",328.65184
"esp","2015",315.04078
"esp","2016",324.64118
"esp","2017",340.03407
"esp","2018",323.84889
"esp","2019",405.2778
"esp","2020",483.21577
"esp","2021",530.23541
"esp","2022",494.53507
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",277.95762
"swe","2009",270.81562
"swe","2010",308.34363
"swe","2011",254.38798
"swe","2012",224.88247
"swe","2013",203.03641
"swe","2014",211.2619
"swe","2015",203.36607
"swe","2016",199.62832
"swe","2017",186.71845
"swe","2018",182.07819
"swe","2019",181.70324
"swe","2020",167.96723
"swe","2021",167.46126
"swe","2022",150.23929
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",220.08096
"che","2009",199.91232
"che","2010",148.65524
"che","2011",118.27835
"che","2012",125.08028
"che","2013",159.64639
"che","2014",155.08331
"che","2015",72.44911
"che","2016",114.12555
"che","2017",143.6223
"che","2018",132.97668
"che","2019",95.18956
"che","2020",128.12797
"che","2021",136.31573
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",1035.3
"gbr","2009",882.5
"gbr","2010",951
"gbr","2011",880
"gbr","2012",979.8
"gbr","2013",993.5
"gbr","2014",898.5
"gbr","2015",953
"gbr","2016",984.2
"gbr","2017",963.9
"gbr","2018",944.7
"gbr","2019",947.5
"gbr","2020",864.9
"gbr","2021",904.9
"gbr","2022",860
"gbr","2023",NA
