"country","year","ae_cap_retail"
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",229.28039
"swe","2009",206.76039
"swe","2010",213.37737
"swe","2011",218.48699
"swe","2012",196.38678
"swe","2013",193.20957
"swe","2014",178.16834
"swe","2015",176.29517
"swe","2016",171.23482
"swe","2017",163.94906
"swe","2018",161.61627
"swe","2019",163.23511
"swe","2020",146.09891
"swe","2021",141.50095
"swe","2022",124.04459
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",313.8618
"che","2009",306.63862
"che","2010",315.2565
"che","2011",298.30218
"che","2012",303.7555
"che","2013",290.12646
"che","2014",251.29625
"che","2015",249.27976
"che","2016",246.94802
"che","2017",241.69733
"che","2018",223.64647
"che","2019",220.0175
"che","2020",205.42132
"che","2021",207.62815
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
