"country","year","ae_ton_retail"
"prt","2013",1647.356
"prt","2014",1781.7559
"prt","2015",1778.9835
"prt","2016",1765.1968
"prt","2017",1810.0915
"prt","2018",1894.0735
"prt","2019",1952.1234
"prt","2020",1592.6752
"prt","2021",1725.6341
"prt","2022",1637.83961
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",1559.84496
"rou","2009",1480.75946
"rou","2010",1403.75948
"rou","2011",1377.44473
"rou","2012",1449.1663
"rou","2013",1400.99405
"rou","2014",1455.04809
"rou","2015",1452.60409
"rou","2016",1540.88287
"rou","2017",1629.41676
"rou","2018",1649.23282
"rou","2019",1654.98205
"rou","2020",1573.97672
"rou","2021",1695.01714
"rou","2022",1593.73145
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",353.25834
"svk","2009",354.00911
"svk","2010",355.92566
"svk","2011",314.97795
"svk","2012",318.67239
"svk","2013",339.89043
"svk","2014",372.45823
"svk","2015",515.82146
"svk","2016",546.82746
"svk","2017",564.98787
"svk","2018",585.02082
"svk","2019",624.34432
"svk","2020",480.87663
"svk","2021",482.50798
"svk","2022",458.25602
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",338.40038
"svn","2009",315.5838
"svn","2010",340.51658
"svn","2011",336.55358
"svn","2012",322.69983
"svn","2013",323.17984
"svn","2014",327.6157
"svn","2015",346.33012
"svn","2016",357.39881
"svn","2017",392.96878
"svn","2018",430.40235
"svn","2019",448.33275
"svn","2020",423.79672
