"country","year","ae_cap_total"
"lux","2018",13997.67798
"lux","2019",14722.53152
"lux","2020",13061.28011
"lux","2021",12776.40075
"lux","2022",12090.51969
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",7203.973
"mlt","2009",6797.31887
"mlt","2010",6960.57476
"mlt","2011",6971.61572
"mlt","2012",7315.30597
"mlt","2013",6447.08564
"mlt","2014",6374.48839
"mlt","2015",4633.91805
"mlt","2016",3874.02046
"mlt","2017",4131.16713
"mlt","2018",4076.51906
"mlt","2019",4161.78155
"mlt","2020",3669.2344
"mlt","2021",3620.33822
"mlt","2022",3708.47574
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",11551.38197
"nld","2009",11097.07427
"nld","2010",11499.81564
"nld","2011",10936.27375
"nld","2012",10657.36022
"nld","2013",10592.97151
"nld","2014",10521.61319
"nld","2015",10825.10595
"nld","2016",10711.09087
"nld","2017",10491.46776
"nld","2018",10134.11423
"nld","2019",9903.38322
"nld","2020",8766.73399
"nld","2021",8753.79501
"nld","2022",8227.72475
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",12308.80783
"nor","2009",11368.30558
"nor","2010",11861.90026
"nor","2011",12700.89528
"nor","2012",12425.87726
"nor","2013",12341.83636
"nor","2014",12097.5829
"nor","2015",13324.27485
"nor","2016",11533.44895
"nor","2017",11890.01784
"nor","2018",12376.8299
"nor","2019",12337.20938
"nor","2020",11180.61364
"nor","2021",11028.02094
"nor","2022",11043.62985
