"country","year","ae_ton_land"
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",4711.3833
"prt","2009",4595.9098
"prt","2010",4759.902
"prt","2011",4424.3201
"prt","2012",4114.3446
"prt","2013",4020.077
"prt","2014",4151.4591
"prt","2015",4145.5244
"prt","2016",4201.6407
"prt","2017",4152.2361
"prt","2018",3996.0182
"prt","2019",3907.3438
"prt","2020",3083.3547
"prt","2021",3473.7208
"prt","2022",3657.06009
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",5892.29615
"rou","2009",4625.57892
"rou","2010",4446.60856
"rou","2011",4501.89181
"rou","2012",4388.49223
"rou","2013",4649.08872
"rou","2014",4546.25988
"rou","2015",4781.22691
"rou","2016",5336.76354
"rou","2017",5661.55217
"rou","2018",5759.50059
"rou","2019",6001.5494
"rou","2020",5527.31312
"rou","2021",5848.82718
"rou","2022",5563.41223
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",4525.75953
"svk","2009",3732.06013
"svk","2010",3578.78661
"svk","2011",3353.24535
"svk","2012",2955.44134
"svk","2013",3028.08504
"svk","2014",2885.56805
"svk","2015",3345.44439
"svk","2016",3330.96149
"svk","2017",3366.02518
"svk","2018",3370.79509
"svk","2019",3094.93807
"svk","2020",1881.51932
"svk","2021",1956.04998
"svk","2022",2025.68824
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",554.91343
"svn","2009",509.71459
"svn","2010",551.42747
"svn","2011",548.47396
"svn","2012",525.54325
"svn","2013",527.84842
"svn","2014",547.05321
"svn","2015",566.74917
"svn","2016",568.75089
"svn","2017",617.52815
"svn","2018",686.13877
"svn","2019",721.29847
"svn","2020",687.15521
"svn","2021",742.10399
"svn","2022",867.75197
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",30945.54411
"esp","2009",27494.49554
"esp","2010",26319.36291
"esp","2011",24966.678
"esp","2012",22637.57176
"esp","2013",22722.4447
"esp","2014",22780.16541
"esp","2015",24174.71414
"esp","2016",24721.99099
"esp","2017",25846.79374
"esp","2018",25099.6637
"esp","2019",25603.71846
"esp","2020",23341.81749
"esp","2021",26067.0328
"esp","2022",27225.07793
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",3594.96002
"swe","2009",3275.31293
"swe","2010",3369.14056
"swe","2011",3294.28874
