"country","year","ae_ton_info"
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",41.86055
"svk","2009",47.19066
"svk","2010",54.4569
"svk","2011",52.68415
"svk","2012",60.4781
"svk","2013",56.87388
"svk","2014",46.40667
"svk","2015",41.12277
"svk","2016",47.00345
"svk","2017",49.34699
"svk","2018",51.63779
"svk","2019",63.02597
"svk","2020",54.81588
"svk","2021",61.4715
"svk","2022",57.66585
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",45.02294
"svn","2009",43.52207
"svn","2010",45.72759
"svn","2011",42.43773
"svn","2012",37.32251
"svn","2013",38.32162
"svn","2014",39.57656
"svn","2015",42.83888
"svn","2016",46.53467
"svn","2017",48.1551
"svn","2018",50.21322
"svn","2019",52.1388
"svn","2020",45.14859
"svn","2021",49.88793
"svn","2022",51.47309
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",290.2201
"esp","2009",303.42218
"esp","2010",356.33798
"esp","2011",368.57427
"esp","2012",335.71486
"esp","2013",281.04905
"esp","2014",237.96764
"esp","2015",228.50248
"esp","2016",252.17418
"esp","2017",262.69845
"esp","2018",283.47909
"esp","2019",274.82905
"esp","2020",258.50412
"esp","2021",282.11882
"esp","2022",264.671
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",175.9644
"swe","2009",169.70587
"swe","2010",160.63035
"swe","2011",164.07733
"swe","2012",144.78816
"swe","2013",137.34498
"swe","2014",129.25988
"swe","2015",123.26423
"swe","2016",115.56008
"swe","2017",110.58371
"swe","2018",108.19127
"swe","2019",103.37069
"swe","2020",93.53485
"swe","2021",88.533
"swe","2022",79.55331
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",197.10406
"che","2009",224.48392
"che","2010",240.37886
"che","2011",197.1166
"che","2012",190.65655
"che","2013",181.10294
"che","2014",178.71912
"che","2015",149.9138
"che","2016",173.28773
"che","2017",155.71831
"che","2018",131.2523
"che","2019",135.31911
"che","2020",139.64459
"che","2021",178.44015
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
