"country","year","ae_ton_house"
"mlt","2010",0
"mlt","2011",0
"mlt","2012",0
"mlt","2013",0
"mlt","2014",0
"mlt","2015",0
"mlt","2016",0
"mlt","2017",0
"mlt","2018",0
"mlt","2019",0
"mlt","2020",0
"mlt","2021",0
"mlt","2022",0
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",0
"nld","2009",0
"nld","2010",0
"nld","2011",0
"nld","2012",0
"nld","2013",0
"nld","2014",0
"nld","2015",0
"nld","2016",0
"nld","2017",0
"nld","2018",0
"nld","2019",0
"nld","2020",0
"nld","2021",0
"nld","2022",0
"nld","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",0.7527
"nor","2009",1.51603
"nor","2010",3.70898
"nor","2011",1.65143
"nor","2012",1.07505
"nor","2013",1.07551
"nor","2014",1.18614
"nor","2015",0.95354
"nor","2016",0.87791
"nor","2017",0.63481
"nor","2018",0.61898
"nor","2019",0.27035
"nor","2020",0.19257
"nor","2021",0.30788
"nor","2022",0.30036
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",0
"pol","2009",0
"pol","2010",0
"pol","2011",0
"pol","2012",0
"pol","2013",0
"pol","2014",0
"pol","2015",0
"pol","2016",0
"pol","2017",0
"pol","2018",0
"pol","2019",0
"pol","2020",0
"pol","2021",0
"pol","2022",0
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",0
"prt","2009",0
"prt","2010",0
"prt","2011",0
"prt","2012",0
"prt","2013",0
"prt","2014",0
"prt","2015",0
"prt","2016",0
"prt","2017",0
"prt","2018",0
"prt","2019",0
