country,year,ae_cap_health
nld,1996,NA
nld,1997,NA
nld,1998,NA
nld,1999,NA
nld,2000,NA
nld,2001,NA
nld,2002,NA
nld,2003,NA
nld,2004,NA
nld,2005,NA
nld,2006,NA
nld,2007,NA
nld,2008,87.31957
nld,2009,90.5211
nld,2010,114.52158
nld,2011,92.65593
nld,2012,108.44796
nld,2013,111.90099
nld,2014,91.54391
nld,2015,96.28096
nld,2016,96.43441
nld,2017,92.82308
nld,2018,90.05835
nld,2019,82.07325
nld,2020,73.64679
nld,2021,77.44235
nld,2022,67.47281
nld,2023,NA
nor,1990,NA
nor,1991,NA
nor,1992,NA
nor,1993,NA
nor,1994,NA
nor,1995,NA
nor,1996,NA
nor,1997,NA
nor,1998,NA
nor,1999,NA
nor,2000,NA
nor,2001,NA
nor,2002,NA
nor,2003,NA
nor,2004,NA
nor,2005,NA
nor,2006,NA
nor,2007,NA
nor,2008,29.18708
nor,2009,31.96444
nor,2010,33.21395
nor,2011,29.04668
nor,2012,27.30578
nor,2013,26.44507
nor,2014,22.95831
nor,2015,23.87122
nor,2016,23.57068
nor,2017,22.48616
nor,2018,19.39361
nor,2019,18.50713
nor,2020,17.37627
nor,2021,22.28214
nor,2022,21.1235
nor,2023,NA
pol,1990,NA
pol,1991,NA
pol,1992,NA
pol,1993,NA
pol,1994,NA
pol,1995,NA
pol,1996,NA
pol,1997,NA
pol,1998,NA
pol,1999,NA
pol,2000,NA
pol,2001,NA
pol,2002,NA
pol,2003,NA
pol,2004,NA
pol,2005,NA
pol,2006,NA
pol,2007,NA
pol,2008,36.2603
pol,2009,37.83925
pol,2010,42.10963
pol,2011,39.81243
pol,2012,38.96892
pol,2013,36.69774
pol,2014,35.19504
pol,2015,36.24196
pol,2016,64.7081
pol,2017,83.15194
pol,2018,76.35495
pol,2019,69.3195
pol,2020,78.27259
pol,2021,89.77023
pol,2022,86.31729
pol,2023,NA
prt,1990,NA
prt,1991,NA
prt,1992,NA
prt,1993,NA
prt,1994,NA
prt,1995,NA
prt,1996,NA
prt,1997,NA
prt,1998,NA
prt,1999,NA
prt,2000,NA
prt,2001,NA
prt,2002,NA
prt,2003,NA
prt,2004,NA
prt,2005,NA
prt,2006,NA
prt,2007,NA
prt,2008,52.14699
prt,2009,58.20911
prt,2010,45.7124
prt,2011,43.67324
prt,2012,38.29092
prt,2013,43.91987
prt,2014,44.68797
prt,2015,45.9942
prt,2016,48.80221
prt,2017,46.72055
prt,2018,45.95646
prt,2019,44.96969
prt,2020,49.06432
prt,2021,38.45855
prt,2022,36.27673
prt,2023,NA
rou,1990,NA
rou,1991,NA
rou,1992,NA
rou,1993,NA
rou,1994,NA
rou,1995,NA
rou,1996,NA
rou,1997,NA
rou,1998,NA
rou,1999,NA
rou,2000,NA
rou,2001,NA
rou,2002,NA
rou,2003,NA
rou,2004,NA
rou,2005,NA
rou,2006,NA
rou,2007,NA
rou,2008,17.25839
rou,2009,16.97701
rou,2010,16.76641
rou,2011,16.31232
rou,2012,16.64241
rou,2013,16.73869
rou,2014,17.20972
rou,2015,17.51035
rou,2016,18.56495
rou,2017,20.02789
rou,2018,20.59525
rou,2019,20.87357
rou,2020,20.15374
rou,2021,21.65584
rou,2022,20.7952
rou,2023,NA
srb,1990,NA
srb,1991,NA
srb,1992,NA
srb,1993,NA
srb,1994,NA
srb,1995,NA
srb,1996,NA
srb,1997,NA
srb,1998,NA
srb,1999,NA
srb,2000,NA
srb,2001,NA
srb,2002,NA
srb,2003,NA
srb,2004,NA
srb,2005,NA
srb,2006,NA
srb,2007,NA
srb,2008,NA
srb,2009,NA
srb,2010,NA
srb,2011,NA
srb,2012,NA
srb,2013,NA
srb,2014,NA
srb,2015,NA
srb,2016,NA
srb,2017,NA
srb,2018,NA
srb,2019,NA
srb,2020,NA
srb,2021,NA
srb,2022,NA
srb,2023,NA
svk,1990,NA
svk,1991,NA
svk,1992,NA
svk,1993,NA
svk,1994,NA
svk,1995,NA
svk,1996,NA
svk,1997,NA
svk,1998,NA
svk,1999,NA
svk,2000,NA
svk,2001,NA
svk,2002,NA
svk,2003,NA
svk,2004,NA
svk,2005,NA
svk,2006,NA
svk,2007,NA
svk,2008,37.53446
svk,2009,37.53991
svk,2010,40.2392
svk,2011,33.06253
svk,2012,34.24496
svk,2013,35.58912
svk,2014,30.02543
svk,2015,29.9729
svk,2016,31.52095
svk,2017,33.1975
svk,2018,30.99146
svk,2019,33.87204
svk,2020,37.51951
svk,2021,42.60828
svk,2022,40.33847
svk,2023,NA
svn,1990,NA
svn,1991,NA
svn,1992,NA
svn,1993,NA
svn,1994,NA
svn,1995,NA
svn,1996,NA
svn,1997,NA
svn,1998,NA
svn,1999,NA
svn,2000,NA
svn,2001,NA
svn,2002,NA
svn,2003,NA
svn,2004,NA
svn,2005,NA
svn,2006,NA
svn,2007,NA
svn,2008,74.98763
svn,2009,82.4706
svn,2010,76.91133
svn,2011,80.67283
svn,2012,74.23284
svn,2013,68.88416
svn,2014,61.59608
svn,2015,74.21033
svn,2016,85.3735
svn,2017,68.28463
svn,2018,65.76867
svn,2019,80.28171
svn,2020,68.77957
svn,2021,50.27041
svn,2022,77.58967
svn,2023,NA
esp,1990,NA
esp,1991,NA
esp,1992,NA
esp,1993,NA
esp,1994,NA
esp,1995,NA
esp,1996,NA
esp,1997,NA
esp,1998,NA
esp,1999,NA
esp,2000,NA
esp,2001,NA
esp,2002,NA
esp,2003,NA
esp,2004,NA
esp,2005,NA
esp,2006,NA
esp,2007,NA
esp,2008,28.11605
esp,2009,28.38201
esp,2010,30.17118
esp,2011,30.18699
esp,2012,26.12277
esp,2013,23.2105
esp,2014,21.46614
esp,2015,19.96059
esp,2016,21.04341
esp,2017,22.16484
esp,2018,23.74683
esp,2019,26.67135
esp,2020,26.08628
esp,2021,27.41181
esp,2022,26.71169
esp,2023,NA
swe,1990,NA
swe,1991,NA
swe,1992,NA
swe,1993,NA
swe,1994,NA
swe,1995,NA
swe,1996,NA
swe,1997,NA
swe,1998,NA
swe,1999,NA
swe,2000,NA
swe,2001,NA
swe,2002,NA
swe,2003,NA
swe,2004,NA
swe,2005,NA
swe,2006,NA
swe,2007,NA
swe,2008,48.74158
swe,2009,46.3741
swe,2010,48.13034
swe,2011,45.15923
swe,2012,44.29723
swe,2013,40.61088
swe,2014,39.86203
swe,2015,39.39166
swe,2016,37.17049
swe,2017,39.27184
swe,2018,35.22759
swe,2019,34.25152
swe,2020,32.62463
swe,2021,32.06906
swe,2022,28.28369
swe,2023,NA
che,1990,NA
che,1991,NA
che,1992,NA
che,1993,NA
che,1994,NA
che,1995,NA
che,1996,NA
che,1997,NA
che,1998,NA
che,1999,NA
che,2000,NA
che,2001,NA
che,2002,NA
che,2003,NA
che,2004,NA
che,2005,NA
che,2006,NA
che,2007,NA
che,2008,121.65364
che,2009,122.36735
che,2010,125.79365
che,2011,108.66868
che,2012,110.45791
che,2013,111.65567
che,2014,94.91473
che,2015,96.53672
che,2016,94.94264
che,2017,90.58373
che,2018,81.00486
che,2019,81.96223
che,2020,81.16381
che,2021,86.25575
che,2022,NA
che,2023,NA
tur,1990,NA
tur,1991,NA
tur,1992,NA
tur,1993,NA
tur,1994,NA
tur,1995,NA
tur,1996,NA
tur,1997,NA
tur,1998,NA
tur,1999,NA
tur,2000,NA
tur,2001,NA
tur,2002,NA
tur,2003,NA
tur,2004,NA
tur,2005,NA
tur,2006,NA
tur,2007,NA
tur,2008,NA
tur,2009,NA
tur,2010,NA
tur,2011,NA
tur,2012,NA
tur,2013,NA
tur,2014,NA
tur,2015,NA
tur,2016,NA
tur,2017,NA
tur,2018,NA
tur,2019,NA
tur,2020,NA
tur,2021,NA
tur,2022,NA
tur,2023,NA
