"country","year","ae_ton_elec"
"lva","2007",NA
"lva","2008",2065.43276
"lva","2009",2007.44233
"lva","2010",2387.55263
"lva","2011",2173.15726
"lva","2012",1983.92305
"lva","2013",2077.90891
"lva","2014",1856.77459
"lva","2015",1907.63102
"lva","2016",2004.12152
"lva","2017",1740.34244
"lva","2018",2046.81152
"lva","2019",1966.00523
"lva","2020",1506.5533
"lva","2021",1527.20439
"lva","2022",1087.25075
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",3237.49563
"ltu","2009",3347.67929
"ltu","2010",4026.56424
"ltu","2011",3118.59542
"ltu","2012",3257.31789
"ltu","2013",2666.07089
"ltu","2014",2236.1256
"ltu","2015",2143.23355
"ltu","2016",1897.74203
"ltu","2017",1589.7052
"ltu","2018",1531.56145
"ltu","2019",1353.74521
"ltu","2020",1686.6607
"ltu","2021",1824.83298
"ltu","2022",1672.13216
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",1197.2716
"lux","2009",1343.0822
"lux","2010",1390.9267
"lux","2011",1183.1434
"lux","2012",1201.1883
"lux","2013",826.9154
"lux","2014",783.0589
"lux","2015",553.1426
"lux","2016",334.0512
"lux","2017",331.3448
"lux","2018",308.8964
"lux","2019",310.1522
"lux","2020",298.8001
"lux","2021",303.595
