"country","year","ae_ton_food"
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",15.06775
"ltu","2009",16.38801
"ltu","2010",17.11721
"ltu","2011",18.56561
"ltu","2012",15.86979
"ltu","2013",15.95294
"ltu","2014",16.65289
"ltu","2015",14.52345
"ltu","2016",18.27218
"ltu","2017",18.91665
"ltu","2018",22.36546
"ltu","2019",21.83595
"ltu","2020",15.55097
"ltu","2021",37.44164
"ltu","2022",36.91184
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",21.71819
"lux","2009",21.55285
"lux","2010",24.75134
"lux","2011",22.51323
"lux","2012",30.89981
"lux","2013",32.59665
"lux","2014",22.93316
"lux","2015",30.84308
"lux","2016",34.57646
"lux","2017",36.39692
"lux","2018",38.71686
"lux","2019",40.22175
"lux","2020",16.01464
"lux","2021",22.18029
"lux","2022",18.88882
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",33.05364
"mlt","2009",30.93572
"mlt","2010",40.09379
"mlt","2011",32.15279
"mlt","2012",47.89349
"mlt","2013",49.30387
"mlt","2014",58.51333
"mlt","2015",69.31534
"mlt","2016",73.11046
"mlt","2017",70.57982
"mlt","2018",60.46197
"mlt","2019",58.058
"mlt","2020",51.69602
"mlt","2021",52.40192
"mlt","2022",54.23486
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",945.7422
"nld","2009",951.80211
"nld","2010",1180.76268
"nld","2011",1014.13013
"nld","2012",1190.94954
"nld","2013",1253.51925
"nld","2014",1038.55404
"nld","2015",1115.46282
"nld","2016",1112.12171
"nld","2017",1109.25295
"nld","2018",1075.70331
"nld","2019",1058.87524
"nld","2020",940.97739
"nld","2021",981.83902
"nld","2022",864.09723
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",195.77549028
"nzl","2009",188.36396453
"nzl","2010",192.20121073
"nzl","2011",192.92829695
"nzl","2012",185.6731189
"nzl","2013",177.17586029
"nzl","2014",192.89635669
"nzl","2015",177.08996504
"nzl","2016",193.80550647
"nzl","2017",197.42212722
"nzl","2018",188.98916682
"nzl","2019",201.49960781
"nzl","2020",184.54103258
"nzl","2021",151.66921662
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",104.78252
"nor","2009",107.2988
"nor","2010",126.65401
"nor","2011",124.68089
"nor","2012",125.75476
"nor","2013",127.04312
"nor","2014",128.56675
"nor","2015",133.50127
"nor","2016",139.22799
"nor","2017",128.22348
"nor","2018",135.81194
"nor","2019",123.767
"nor","2020",111.36651
"nor","2021",98.64272
"nor","2022",97.23927
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",500.00519
"pol","2009",485.37992
"pol","2010",511.35098
"pol","2011",478.49296
"pol","2012",472.35672
"pol","2013",436.6766
"pol","2014",419.30696
"pol","2015",432.22911
"pol","2016",650.46523
"pol","2017",611.21072
"pol","2018",628.35822
"pol","2019",693.32295
"pol","2020",708.02123
"pol","2021",834.12189
"pol","2022",784.84033
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",353.45
"prt","2009",344.8143
"prt","2010",225.2936
"prt","2011",216.9044
"prt","2012",212.2765
"prt","2013",214.0715
"prt","2014",278.3484
"prt","2015",302.0362
"prt","2016",311.9411
"prt","2017",308.3244
"prt","2018",355.0689
"prt","2019",315.6797
"prt","2020",239.4066
"prt","2021",247.821
"prt","2022",237.02868
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",186.04062
"rou","2009",166.9804
"rou","2010",167.96143
"rou","2011",161.51608
"rou","2012",166.17925
"rou","2013",161.60654
"rou","2014",165.31084
"rou","2015",166.04157
"rou","2016",174.03281
"rou","2017",187.72172
"rou","2018",192.52501
"rou","2019",193.618
"rou","2020",181.32487
"rou","2021",194.94512
"rou","2022",183.74826
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",170.84765
"svk","2009",173.96373
"svk","2010",186.26207
"svk","2011",155.31181
"svk","2012",167.51494
"svk","2013",174.5362
"svk","2014",151.99458
"svk","2015",154.70137
"svk","2016",156.80377
"svk","2017",169.64047
"svk","2018",158.83119
"svk","2019",164.0073
"svk","2020",156.83954
"svk","2021",176.43473
"svk","2022",167.97544
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",143.39479
"svn","2009",154.00909
"svn","2010",145.13046
"svn","2011",136.08955
"svn","2012",115.65718
"svn","2013",128.73015
"svn","2014",88.62937
"svn","2015",98.95871
"svn","2016",112.28804
"svn","2017",105.19999
"svn","2018",108.67099
"svn","2019",109.23369
"svn","2020",88.22906
"svn","2021",86.30559
"svn","2022",89.24595
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",2698.21407
"esp","2009",2901.74911
"esp","2010",3505.18775
"esp","2011",3663.8445
"esp","2012",3303.47585
"esp","2013",2693.43773
"esp","2014",2198.55195
"esp","2015",2109.73142
"esp","2016",2144.87229
"esp","2017",2271.73457
"esp","2018",2401.17739
"esp","2019",2381.60999
"esp","2020",1879.72885
"esp","2021",2059.64737
"esp","2022",1920.03715
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",86.45201
"swe","2009",86.50668
"swe","2010",91.43416
"swe","2011",86.06241
"swe","2012",80.83955
"swe","2013",80.52373
"swe","2014",77.96696
"swe","2015",79.63664
"swe","2016",77.43303
"swe","2017",76.03687
"swe","2018",73.48215
"swe","2019",71.89636
"swe","2020",66.16616
"swe","2021",66.76679
"swe","2022",61.31083
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",912.71103
"che","2009",828.82126
"che","2010",920.86199
"che","2011",792.89638
"che","2012",830.05831
"che","2013",802.39032
"che","2014",645.34226
"che","2015",626.50499
"che","2016",661.88013
"che","2017",666.53758
"che","2018",631.14389
"che","2019",555.73915
"che","2020",526.11602
"che","2021",540.64693
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
