"country","year","ae_cap_info"
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",19.08583
"swe","2009",18.25086
"swe","2010",17.12819
"swe","2011",17.36413
"swe","2012",15.20984
"swe","2013",14.3062
"swe","2014",13.33111
"swe","2015",12.57903
"swe","2016",11.64558
"swe","2017",10.99493
"swe","2018",10.63282
"swe","2019",10.0566
"swe","2020",9.03418
"swe","2021",8.49987
"swe","2022",7.58594
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",25.77307
"che","2009",28.98874
"che","2010",30.7197
"che","2011",24.91237
"che","2012",23.84142
"che","2013",22.38783
"che","2014",21.82523
"che","2015",18.10029
"che","2016",20.69518
"che","2017",18.42419
"che","2018",15.41546
"che","2019",15.78014
"che","2020",16.166
"che","2021",20.49965
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
