"country","year","exp_total"
"bel","2015",51931306
"bel","2016",55602748
"bel","2017",57171756
"bel","2018",58115425
"bel","2019",60829527
"bel","2020",50643609
"bel","2021",60300024
"bel","2022",74156091
"bel","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",0
NA,"2009",0
NA,"2010",0
NA,"2011",0
NA,"2012",0
NA,"2013",0
NA,"2014",0
NA,"2015",0
NA,"2016",0
NA,"2017",0
NA,"2018",0
NA,"2019",0
NA,"2020",0
NA,"2021",0
NA,"2022",0
NA,"2023",0
"blz","1990",NA
"blz","1991",NA
"blz","1992",NA
"blz","1993",NA
"blz","1994",NA
"blz","1995",NA
"blz","1996",NA
"blz","1997",NA
"blz","1998",NA
"blz","1999",NA
"blz","2000",NA
"blz","2001",NA
"blz","2002",NA
"blz","2003",NA
"blz","2004",NA
"blz","2005",NA
"blz","2006",NA
"blz","2007",NA
"blz","2008",17257
"blz","2009",22035
"blz","2010",2957
"blz","2011",1854
"blz","2012",17122
"blz","2013",4577
"blz","2014",5104
"blz","2015",3968
"blz","2016",2927
"blz","2017",8352
"blz","2018",3420
"blz","2019",6386
"blz","2020",3525
"blz","2021",6801
"blz","2022",9272
"blz","2023",1
"ben","1990",NA
"ben","1991",NA
"ben","1992",NA
"ben","1993",NA
"ben","1994",NA
"ben","1995",NA
"ben","1996",NA
"ben","1997",NA
"ben","1998",NA
"ben","1999",NA
"ben","2000",NA
"ben","2001",NA
"ben","2002",NA
"ben","2003",NA
"ben","2004",NA
"ben","2005",NA
"ben","2006",NA
"ben","2007",NA
"ben","2008",240109
"ben","2009",231522
"ben","2010",146127
"ben","2011",99819
"ben","2012",117664
"ben","2013",190308
"ben","2014",136699
"ben","2015",95063
"ben","2016",109747
"ben","2017",86854
"ben","2018",60636
"ben","2019",146821
"ben","2020",128100
"ben","2021",123649
"ben","2022",90755
"ben","2023",1
"bmu","1990",NA
"bmu","1991",NA
"bmu","1992",NA
"bmu","1993",NA
"bmu","1994",NA
"bmu","1995",NA
"bmu","1996",NA
"bmu","1997",NA
"bmu","1998",NA
"bmu","1999",NA
"bmu","2000",NA
"bmu","2001",NA
"bmu","2002",NA
"bmu","2003",NA
"bmu","2004",NA
"bmu","2005",NA
"bmu","2006",NA
"bmu","2007",NA
"bmu","2008",6758
"bmu","2009",9588
"bmu","2010",7518
"bmu","2011",294599
"bmu","2012",3221
"bmu","2013",20496
"bmu","2014",29423
"bmu","2015",7118
"bmu","2016",8099
"bmu","2017",14740
"bmu","2018",6487
"bmu","2019",6065
"bmu","2020",2054
"bmu","2021",4771
"bmu","2022",3328
"bmu","2023",1
"btn","1990",NA
"btn","1991",NA
"btn","1992",NA
"btn","1993",NA
"btn","1994",NA
"btn","1995",NA
"btn","1996",NA
"btn","1997",NA
"btn","1998",NA
"btn","1999",NA
"btn","2000",NA
"btn","2001",NA
"btn","2002",NA
"btn","2003",NA
"btn","2004",NA
"btn","2005",NA
"btn","2006",NA
"btn","2007",NA
"btn","2008",29393
"btn","2009",25615
"btn","2010",20294
"btn","2011",44409
"btn","2012",54114
"btn","2013",31062
"btn","2014",11778
"btn","2015",18577
"btn","2016",26105
"btn","2017",26837
"btn","2018",6965
"btn","2019",42673
"btn","2020",5912
"btn","2021",4937
"btn","2022",12068
"btn","2023",1
"bol","1990",NA
"bol","1991",NA
"bol","1992",NA
"bol","1993",NA
"bol","1994",NA
"bol","1995",NA
"bol","1996",NA
"bol","1997",NA
"bol","1998",NA
"bol","1999",NA
"bol","2000",NA
"bol","2001",NA
"bol","2002",NA
"bol","2003",NA
"bol","2004",NA
"bol","2005",NA
"bol","2006",NA
"bol","2007",NA
"bol","2008",275984
"bol","2009",639992
"bol","2010",228524
"bol","2011",227280
"bol","2012",189799
"bol","2013",788540
"bol","2014",930869
"bol","2015",443927
"bol","2016",291554
"bol","2017",1268808
"bol","2018",935223
"bol","2019",270020
"bol","2020",127111
"bol","2021",168055
"bol","2022",396844
"bol","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",0
NA,"2009",0
NA,"2010",0
NA,"2011",0
NA,"2012",0
NA,"2013",384
NA,"2014",418
NA,"2015",455
NA,"2016",695
NA,"2017",2074
NA,"2018",1122
NA,"2019",265
NA,"2020",93428
NA,"2021",136
NA,"2022",730
NA,"2023",1
"bih","1990",NA
"bih","1991",NA
"bih","1992",NA
"bih","1993",NA
"bih","1994",NA
"bih","1995",NA
"bih","1996",NA
"bih","1997",NA
"bih","1998",NA
"bih","1999",NA
"bih","2000",NA
"bih","2001",NA
"bih","2002",NA
"bih","2003",NA
"bih","2004",NA
"bih","2005",NA
"bih","2006",NA
"bih","2007",NA
"bih","2008",336034
"bih","2009",226099
"bih","2010",221042
"bih","2011",346503
"bih","2012",169883
"bih","2013",169631
"bih","2014",248772
"bih","2015",288351
"bih","2016",259093
"bih","2017",240312
"bih","2018",265932
"bih","2019",287106
"bih","2020",252791
"bih","2021",343186
"bih","2022",458329
"bih","2023",1
"bwa","1990",NA
"bwa","1991",NA
"bwa","1992",NA
"bwa","1993",NA
"bwa","1994",NA
"bwa","1995",NA
"bwa","1996",NA
