country,year,loner_lop_jur_veten
che,2013,26260
che,2014,27452.2
che,2015,32130.9
che,2016,32663.3
che,2017,33434.6
che,2018,32217.9
che,2019,34260.4
che,2020,35893.6
che,2021,38033.9
che,2022,43641.7
che,2023,48089.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,76486.9
gbr,2009,66360.2
gbr,2010,72061.2
gbr,2011,73088.4
gbr,2012,80969.8
gbr,2013,85188.3
gbr,2014,93732.9
gbr,2015,108836.7
gbr,2016,101130
gbr,2017,100497.3
gbr,2018,104697.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,200.5
bih,2009,210.9
bih,2010,221
bih,2011,226.8
bih,2012,230.6
bih,2013,227.5
bih,2014,219.1
bih,2015,225.4
bih,2016,237.3
bih,2017,247.9
bih,2018,259.4
bih,2019,278.3
bih,2020,284.8
bih,2021,311.3
bih,2022,380.2
bih,2023,431
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,59.2
mkd,2009,68.4
mkd,2010,88.2
mkd,2011,94.9
mkd,2012,94.6
mkd,2013,95.6
mkd,2014,117.2
mkd,2015,111.1
mkd,2016,113.3
mkd,2017,125.4
mkd,2018,134.2
mkd,2019,143.8
mkd,2020,155.2
mkd,2021,169.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,77.5
alb,2014,78.1
alb,2015,152.5
alb,2016,110.5
alb,2017,122
alb,2018,112
alb,2019,131.6
alb,2020,125.4
alb,2021,139.6
alb,2022,196.9
alb,2023,225.1
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,540.3
srb,2009,549.2
srb,2010,527.2
srb,2011,566.3
srb,2012,595.5
srb,2013,646.1
srb,2014,635.8
srb,2015,689.9
srb,2016,752.2
srb,2017,808.9
srb,2018,912
srb,2019,1033.2
srb,2020,1096.7
srb,2021,1362.6
srb,2022,1664.4
srb,2023,2040.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,2876.7
tur,2010,3649.6
tur,2011,3799
tur,2012,4655.5
tur,2013,5086.5
tur,2014,5401.5
tur,2015,6349.7
tur,2016,7372.3
tur,2017,7006.2
tur,2018,5976.8
tur,2019,6070.8
tur,2020,5142.5
tur,2021,5489.6
tur,2022,5996.3
tur,2023,8633.3
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
