country,year,loner_lop_bygg
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,122.3
mkd,2009,118.7
mkd,2010,130.7
mkd,2011,134.5
mkd,2012,137.7
mkd,2013,133.1
mkd,2014,171.2
mkd,2015,172.2
mkd,2016,193.8
mkd,2017,197.4
mkd,2018,184.6
mkd,2019,190
mkd,2020,198.1
mkd,2021,218.1
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,177.2
alb,2014,149.6
alb,2015,242.4
alb,2016,245
alb,2017,227.7
alb,2018,201.9
alb,2019,243.1
alb,2020,243
alb,2021,279.3
alb,2022,320
alb,2023,398.3
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,995.2
srb,2009,828.7
srb,2010,720.9
srb,2011,805.1
srb,2012,765.4
srb,2013,702.9
srb,2014,645.5
srb,2015,700.7
srb,2016,645.1
srb,2017,683.3
srb,2018,777.9
srb,2019,972.1
srb,2020,1153
srb,2021,1270.5
srb,2022,1466.3
srb,2023,1700.1
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,10485
tur,2009,8082.2
tur,2010,10754.9
tur,2011,11314.1
tur,2012,13019.8
tur,2013,14016.7
tur,2014,14015.8
tur,2015,15741.4
tur,2016,18443.5
tur,2017,17353.7
tur,2018,14294.1
tur,2019,12064.1
tur,2020,9837.8
tur,2021,10472.5
tur,2022,10909
tur,2023,17476.1
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
