country,year,foradl_lop_arki
isl,2010,104.8
isl,2011,122.7
isl,2012,137.8
isl,2013,133
isl,2014,159.7
isl,2015,174.2
isl,2016,230.1
isl,2017,275.7
isl,2018,273.9
isl,2019,247.2
isl,2020,210.1
isl,2021,252.7
isl,2022,323
isl,2023,350.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,94.7
lie,2017,91.4
lie,2018,88.1
lie,2019,93.8
lie,2020,91.9
lie,2021,96.9
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,5446.9
nor,2009,5210.1
nor,2010,5723.5
nor,2011,5927.1
nor,2012,7527.8
nor,2013,7994.2
nor,2014,7690.8
nor,2015,6519.5
nor,2016,5527.8
nor,2017,5624.7
nor,2018,6264.4
nor,2019,7354.8
nor,2020,6442.6
nor,2021,6759.8
nor,2022,8024.8
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,7230.9
che,2009,7869.4
che,2010,8942.3
che,2011,10013.3
che,2012,10632.3
che,2013,10761.7
che,2014,11242.6
che,2015,13060.7
che,2016,12868
che,2017,12736.1
che,2018,13166.1
che,2019,13629
che,2020,14462.9
che,2021,14635.1
che,2022,16556
che,2023,17795.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,23827
gbr,2009,21305.6
gbr,2010,22704.7
gbr,2011,21394.7
gbr,2012,23610.4
gbr,2013,25187.8
gbr,2014,28133.5
gbr,2015,32815.8
gbr,2016,28637.7
gbr,2017,27575.9
gbr,2018,28823
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,153.6
bih,2009,159.7
bih,2010,146.3
bih,2011,131
bih,2012,146.4
bih,2013,153.9
bih,2014,160.3
bih,2015,173.9
bih,2016,182.1
bih,2017,156
bih,2018,168.1
bih,2019,195.3
bih,2020,198.3
bih,2021,215.4
bih,2022,259.3
bih,2023,292.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,21.8
mkd,2009,26.9
mkd,2010,37.4
mkd,2011,46.5
mkd,2012,47.3
mkd,2013,54.6
mkd,2014,62.6
mkd,2015,61.4
mkd,2016,62.4
mkd,2017,60.6
mkd,2018,69.7
mkd,2019,81.5
mkd,2020,74
mkd,2021,81.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,350.9
srb,2009,387.7
srb,2010,306.3
srb,2011,352
srb,2012,327.4
srb,2013,372.2
srb,2014,383.2
srb,2015,414.8
srb,2016,413.6
srb,2017,483.7
srb,2018,540.6
srb,2019,591.4
srb,2020,682.7
srb,2021,756.6
srb,2022,846.2
srb,2023,1172.8
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
