country,year,foradl_lop_industri
isl,2008,1679.9
isl,2009,1447.6
isl,2010,1862.6
isl,2011,2026
isl,2012,1952.2
isl,2013,2037.3
isl,2014,2143.3
isl,2015,2384.1
isl,2016,2529.2
isl,2017,2827
isl,2018,2823.5
isl,2019,2731.2
isl,2020,2483.3
isl,2021,3067.4
isl,2022,4005
isl,2023,3953.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,2152.5
lie,2017,2292.8
lie,2018,2141.6
lie,2019,2308.3
lie,2020,2018.5
lie,2021,2386.7
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,115032.3
nor,2009,83537.8
nor,2010,99469.5
nor,2011,118270.1
nor,2012,129085.1
nor,2013,123217.9
nor,2014,111135
nor,2015,90827
nor,2016,76015.8
nor,2017,87764.7
nor,2018,100325.3
nor,2019,86991.2
nor,2020,66672
nor,2021,138803.8
nor,2022,254319.2
nor,2023,153147.5
nor,2024,144727.4
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,83017.5
che,2009,80253.7
che,2010,90385.3
che,2011,104124
che,2012,105510.6
che,2013,105283
che,2014,106208
che,2015,119839.4
che,2016,118820.5
che,2017,118713.8
che,2018,120298.2
che,2019,128183.4
che,2020,129023
che,2021,143123.6
che,2022,156043.4
che,2023,164021.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,281290.5
gbr,2009,237707.4
gbr,2010,259370
gbr,2011,258975.9
gbr,2012,285350.3
gbr,2013,284691.4
gbr,2014,302323.5
gbr,2015,335823.3
gbr,2016,296594.2
gbr,2017,292339.2
gbr,2018,299523
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,2321.1
bih,2009,2229.4
bih,2010,2341.8
bih,2011,2426.2
bih,2012,2365.2
bih,2013,2521.8
bih,2014,2526.5
