country,year,loner_lop_transp_lagr
swe,2008,9336.3
swe,2009,8325.6
swe,2010,9563
swe,2011,10734.3
swe,2012,11345.8
swe,2013,11488.9
swe,2014,11118
swe,2015,11059.6
swe,2016,11281.6
swe,2017,11537.5
swe,2018,11396.6
swe,2019,11447.7
swe,2020,11337.6
swe,2021,12036.8
swe,2022,12247.3
swe,2023,11794.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,364.6
isl,2009,267.9
isl,2010,335.5
isl,2011,373.6
isl,2012,414.3
isl,2013,452.8
isl,2014,501.5
isl,2015,630
isl,2016,804.6
isl,2017,1039.8
isl,2018,1148.2
isl,2019,983.4
isl,2020,630
isl,2021,724.6
isl,2022,1033.3
isl,2023,1193.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,8570.4
nor,2009,8058.5
nor,2010,9236
nor,2011,9943.7
nor,2012,10904.7
nor,2013,10944.1
nor,2014,10102.2
nor,2015,9746.2
nor,2016,9424.9
nor,2017,9290.8
nor,2018,9479.6
nor,2019,9668.9
nor,2020,8515.4
nor,2021,9278
nor,2022,10377.7
nor,2023,9936.9
nor,2024,10210
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,13702.4
che,2012,14333.7
che,2013,13932.9
che,2014,14341.3
che,2015,16507.2
che,2016,16357.8
che,2017,16134.9
che,2018,15873.8
che,2019,17061.8
che,2020,17029
che,2021,17491.9
che,2022,19938.6
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,56836.8
gbr,2009,49965.2
gbr,2010,52659
gbr,2011,51777.9
gbr,2012,56424.6
gbr,2013,56970.8
gbr,2014,60706.8
gbr,2015,68646
gbr,2016,63473.2
gbr,2017,62097.5
gbr,2018,63884.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,283.7
bih,2009,290.6
bih,2010,294.6
bih,2011,302.4
bih,2012,308
bih,2013,309.6
bih,2014,314
bih,2015,309.7
bih,2016,332.8
bih,2017,349.6
bih,2018,363.7
bih,2019,379
bih,2020,368.5
bih,2021,390.5
bih,2022,473.7
bih,2023,516.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,101.1
mkd,2009,123
mkd,2010,148.6
mkd,2011,170.2
mkd,2012,160.3
mkd,2013,135.2
mkd,2014,156.2
mkd,2015,161.3
mkd,2016,171.9
mkd,2017,180.4
mkd,2018,189.4
mkd,2019,200.4
mkd,2020,204.4
mkd,2021,217.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,99.3
alb,2014,69.2
alb,2015,134.2
alb,2016,113.3
alb,2017,137.1
alb,2018,106.7
alb,2019,132.7
alb,2020,123.4
alb,2021,138.2
alb,2022,157.2
alb,2023,184.9
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,692.1
srb,2009,665
srb,2010,627.9
srb,2011,674.9
srb,2012,680.6
srb,2013,720.3
srb,2014,694.3
srb,2015,689.7
srb,2016,690.4
srb,2017,830.8
srb,2018,912
srb,2019,953.9
srb,2020,1070
srb,2021,1198.2
srb,2022,1367.8
srb,2023,1580.8
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,6749.4
tur,2010,8389.4
tur,2011,8460.9
tur,2012,10016
tur,2013,10371.6
tur,2014,10739.9
tur,2015,12062.5
tur,2016,13741.3
tur,2017,12630.5
tur,2018,11030.7
tur,2019,12157.9
tur,2020,9434.6
tur,2021,9565.8
tur,2022,11531.4
tur,2023,16709.9
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
