country,year,foradl_lop_annan_serv
fin,2017,3093
fin,2018,3123
fin,2019,3263
fin,2020,3168
fin,2021,3317
fin,2022,3389
fin,2023,3525
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4799.4
swe,2009,4294.4
swe,2010,5089.9
swe,2011,5623.4
swe,2012,5940.2
swe,2013,6179.7
swe,2014,6071.4
swe,2015,6275.2
swe,2016,6455.2
swe,2017,6572.6
swe,2018,6334.7
swe,2019,6276.4
swe,2020,6159.8
swe,2021,6790.4
swe,2022,6370.5
swe,2023,6342.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,135.9
isl,2009,116.4
isl,2010,127.4
isl,2011,135.2
isl,2012,138
isl,2013,144.7
isl,2014,165.1
isl,2015,198.1
isl,2016,227.1
isl,2017,265
isl,2018,311.3
isl,2019,296.5
isl,2020,306.7
isl,2021,301.5
isl,2022,419
isl,2023,463.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,23.5
lie,2017,30.9
lie,2018,22.3
lie,2019,25
lie,2020,23.7
lie,2021,26.8
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2314.5
nor,2009,2328.3
nor,2010,2627.8
nor,2011,2898.5
nor,2012,3230.2
nor,2013,3305.9
nor,2014,3233.5
nor,2015,3108.6
nor,2016,3113
nor,2017,3284
nor,2018,3263.6
nor,2019,3357.2
nor,2020,2933
nor,2021,3369.2
nor,2022,3612.3
nor,2023,3377
nor,2024,3431.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,4726.4
che,2009,5142.2
che,2010,5670.1
che,2011,6662
che,2012,6825.2
che,2013,6875.3
che,2014,7064.4
che,2015,8123.6
che,2016,8039.9
che,2017,8003.2
che,2018,7942
che,2019,8545.2
che,2020,8266.9
che,2021,9013.6
che,2022,10006.5
che,2023,10796.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,27653.6
gbr,2009,26660.6
gbr,2010,28623.1
gbr,2011,27879.4
gbr,2012,30625.1
gbr,2013,30749.1
gbr,2014,34086.7
gbr,2015,39386.1
gbr,2016,36862.4
gbr,2017,36621.5
gbr,2018,38425
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,155.2
bih,2009,151.7
bih,2010,156.2
bih,2011,157.5
bih,2012,160.4
bih,2013,157.8
bih,2014,164.4
bih,2015,167.6
bih,2016,173.8
bih,2017,177.5
bih,2018,191.4
bih,2019,203.5
bih,2020,200.2
bih,2021,216.9
bih,2022,248
bih,2023,267.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,11.4
mne,2009,14.3
mne,2010,14
mne,2011,19.8
mne,2012,22.4
mne,2013,24.2
mne,2014,23.5
mne,2015,26.5
mne,2016,33.3
mne,2017,36.5
mne,2018,37.4
mne,2019,43.6
mne,2020,37.9
mne,2021,39.2
mne,2022,47.8
mne,2023,58.2
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,97
mkd,2009,91.5
mkd,2010,58.7
mkd,2011,68
mkd,2012,60.1
mkd,2013,71.5
mkd,2014,80.9
mkd,2015,85.1
mkd,2016,91.7
mkd,2017,92.1
mkd,2018,96.7
mkd,2019,103.2
mkd,2020,100
mkd,2021,105.5
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,562.8
srb,2009,521.3
srb,2010,435.7
srb,2011,478.5
srb,2012,447.3
srb,2013,468.3
srb,2014,476.7
srb,2015,499.2
srb,2016,502.4
srb,2017,501.5
srb,2018,524.9
srb,2019,568.6
srb,2020,611
srb,2021,669.5
srb,2022,668.6
srb,2023,789.3
srb,2024,
tur,2000,
tur,2001,
