country,year,loner_lop_med_verk
svk,2022,296.8
svk,2023,303.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1427
fin,2009,1475
fin,2010,1568
fin,2011,1610
fin,2012,1652
fin,2013,1684
fin,2014,1703
fin,2015,1711
fin,2016,1691
fin,2017,1687
fin,2018,1677
fin,2019,1720
fin,2020,1674
fin,2021,1727
fin,2022,1746
fin,2023,1819
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2076
swe,2009,1935.5
swe,2010,2249.5
swe,2011,2422.6
swe,2012,2602.8
swe,2013,2785.1
swe,2014,2728.6
swe,2015,2728.8
swe,2016,2686.6
swe,2017,2743.9
swe,2018,2699.7
swe,2019,2713.8
swe,2020,2767.8
swe,2021,3004.4
swe,2022,2938.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,73.2
isl,2009,63.1
isl,2010,68.7
isl,2011,74
isl,2012,78.9
isl,2013,82.7
isl,2014,91.2
isl,2015,113.8
isl,2016,129
isl,2017,149.9
isl,2018,159.9
isl,2019,157.3
isl,2020,142.9
isl,2021,163.3
isl,2022,184.4
isl,2023,206.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1029.3
nor,2009,1063
nor,2010,1213.1
nor,2011,1363.3
nor,2012,1472.4
nor,2013,1540.6
nor,2014,1486.3
nor,2015,1387.9
nor,2016,1450.9
nor,2017,1512.2
nor,2018,1529.1
nor,2019,1573.9
nor,2020,1466.7
nor,2021,1653.4
nor,2022,1765.2
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,3501.4
che,2012,3683.5
che,2013,3698.2
che,2014,3829.2
che,2015,4483.7
che,2016,4497.2
che,2017,4482.7
che,2018,4475.3
che,2019,4784.6
che,2020,5024.1
che,2021,5215.7
che,2022,5748.7
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6532.9
gbr,2009,6541.4
gbr,2010,7100.4
gbr,2011,6790.1
gbr,2012,7038.1
gbr,2013,7261.6
gbr,2014,7830.1
gbr,2015,9092.9
gbr,2016,7950.2
gbr,2017,7703
gbr,2018,7945
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,52.1
bih,2009,53
bih,2010,56.5
bih,2011,61.8
bih,2012,59.6
bih,2013,59.2
bih,2014,64.5
bih,2015,64.9
bih,2016,66.4
bih,2017,65
bih,2018,71.8
bih,2019,73
bih,2020,72
bih,2021,76.7
bih,2022,86.2
bih,2023,92.4
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,14.6
mkd,2009,16.3
mkd,2010,15.8
mkd,2011,14.7
mkd,2012,15.6
mkd,2013,16.4
mkd,2014,18.7
mkd,2015,19.8
mkd,2016,22.8
mkd,2017,24.9
mkd,2018,25.6
mkd,2019,27.1
mkd,2020,29.4
mkd,2021,30.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,85.1
srb,2009,82.7
srb,2010,82.4
srb,2011,91.2
srb,2012,89.3
srb,2013,106.3
srb,2014,108.3
srb,2015,123.9
srb,2016,118.9
srb,2017,123.4
srb,2018,147.4
srb,2019,161.6
srb,2020,177.8
srb,2021,169
srb,2022,164.3
srb,2023,188.1
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,2215.4
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
