country,year,foradl_lop_vard
swe,2010,17612.6
swe,2011,19522.1
swe,2012,21007.1
swe,2013,22214.6
swe,2014,22109.1
swe,2015,23170.4
swe,2016,25134.2
swe,2017,25053.1
swe,2018,23829.5
swe,2019,23324.7
swe,2020,23767.8
swe,2021,25128.3
swe,2022,25028.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,0
isl,2009,0
isl,2010,0
isl,2011,0
isl,2012,0
isl,2013,0
isl,2014,0
isl,2015,0
isl,2016,0
isl,2017,0
isl,2018,
isl,2019,
isl,2020,
isl,2021,
isl,2022,
isl,2023,
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,44
lie,2017,44.5
lie,2018,43.9
lie,2019,48
lie,2020,49.4
lie,2021,51.7
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,13179.3
nor,2009,13440.7
nor,2010,15513
nor,2011,17215.1
nor,2012,19182.8
nor,2013,19631.6
nor,2014,19354.6
nor,2015,18528.8
nor,2016,18658
nor,2017,19403.1
nor,2018,19827.9
nor,2019,20291.4
nor,2020,18576.5
nor,2021,20528.6
nor,2022,21987.9
nor,2023,19852.5
nor,2024,20452.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,7370.1
che,2009,8218.2
che,2010,9250.1
che,2011,10875.3
che,2012,11585.6
che,2013,11566.2
che,2014,12118.6
che,2015,14277.6
che,2016,14577.4
che,2017,14661.3
che,2018,14640.7
che,2019,15972.2
che,2020,16612.3
che,2021,16863.6
che,2022,19036.1
che,2023,20559.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,36328.9
gbr,2009,33060.6
gbr,2010,36010.2
gbr,2011,37431.4
gbr,2012,41998.1
gbr,2013,42250.9
gbr,2014,45586.3
gbr,2015,54247.5
gbr,2016,51509.5
gbr,2017,49899
gbr,2018,51292.5
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,48.9
bih,2009,52.6
bih,2010,53.7
bih,2011,60.4
bih,2012,74.1
bih,2013,75.4
