country,year,foradl_lop_arb_form
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2329.7
nor,2009,2004.3
nor,2010,2017.3
nor,2011,2703.6
nor,2012,3176.1
nor,2013,3269.2
nor,2014,3092.9
nor,2015,2574.1
nor,2016,2351.3
nor,2017,2632.9
nor,2018,3029.5
nor,2019,3251.6
nor,2020,2527.6
nor,2021,3034.3
nor,2022,3505.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,3559.1
che,2009,3841.9
che,2010,4915.2
che,2011,5757
che,2012,6092.8
che,2013,6381
che,2014,6712.5
che,2015,7213.6
che,2016,6936.9
che,2017,7395.3
che,2018,7741.4
che,2019,8091.6
che,2020,7731.7
che,2021,8872.7
che,2022,10232.5
che,2023,10523
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,23328.5
gbr,2009,19220.1
gbr,2010,20785.9
gbr,2011,21229.9
gbr,2012,23961.9
gbr,2013,25919
gbr,2014,30093.5
gbr,2015,36232.5
gbr,2016,31838.5
gbr,2017,31900.3
gbr,2018,33041.3
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,10.5
bih,2009,11.1
bih,2010,10.9
bih,2011,11.3
bih,2012,13
bih,2013,13.9
bih,2014,21
bih,2015,26.4
bih,2016,26
bih,2017,26.7
bih,2018,27.8
bih,2019,31.1
bih,2020,30.2
bih,2021,37.4
bih,2022,50.5
bih,2023,57.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
