country,year,foradl_lop_tillv
srb,2019,7550.1
srb,2020,7278.1
srb,2021,8095.6
srb,2022,9421.8
srb,2023,9995.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,85551
tur,2009,70520.1
tur,2010,88044
tur,2011,98850.2
tur,2012,108237.5
tur,2013,117170.5
tur,2014,118576
tur,2015,129736.4
tur,2016,130377.1
tur,2017,133785.4
tur,2018,125755
tur,2019,124808
tur,2020,119961.7
tur,2021,153497.2
tur,2022,190645
tur,2023,201430.5
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
