country,year,loner_lop_hotell
bih,2020,162.2
bih,2021,184.9
bih,2022,254.1
bih,2023,299.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,53.3
mkd,2009,58
mkd,2010,57.5
mkd,2011,59.9
mkd,2012,62.3
mkd,2013,67.7
mkd,2014,73.6
mkd,2015,80.7
mkd,2016,107.7
mkd,2017,113.8
mkd,2018,116.2
mkd,2019,125.6
mkd,2020,119.3
mkd,2021,162.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,54.5
alb,2014,68.6
alb,2015,73.7
alb,2016,65.8
alb,2017,87.2
alb,2018,134.5
alb,2019,160.3
alb,2020,137.3
alb,2021,185.7
alb,2022,221.2
alb,2023,267.6
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,228
srb,2009,219.6
srb,2010,185.4
srb,2011,213.3
srb,2012,215.9
srb,2013,205.2
srb,2014,206.4
srb,2015,261.9
srb,2016,301.4
srb,2017,327.5
srb,2018,377
srb,2019,419.3
srb,2020,500.4
srb,2021,530.4
srb,2022,645
srb,2023,808.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,4442.7
tur,2010,5714.2
tur,2011,5978.2
tur,2012,7519
tur,2013,8366.8
tur,2014,8891.9
tur,2015,10127.9
tur,2016,10721
tur,2017,9850.8
tur,2018,8940.8
tur,2019,9999.4
tur,2020,6355.7
tur,2021,6850.2
tur,2022,8841.1
tur,2023,13406.4
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
