country,year,foradl_lop_offent_forsvar
isl,2010,490.4
isl,2011,564.9
isl,2012,617.3
isl,2013,609.2
isl,2014,657.5
isl,2015,769.2
isl,2016,885.1
isl,2017,1061.2
isl,2018,1080
isl,2019,1090.6
isl,2020,1062.6
isl,2021,1166.9
isl,2022,1347.4
isl,2023,1386.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,372
lie,2017,329
lie,2018,324.8
lie,2019,333.1
lie,2020,359.6
lie,2021,370.5
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,14320.2
nor,2009,14629.1
nor,2010,16964.6
nor,2011,18450.1
nor,2012,20554
nor,2013,20417.7
nor,2014,20416.8
nor,2015,20177.2
nor,2016,20163
nor,2017,20997.7
nor,2018,21537.3
nor,2019,22064.5
nor,2020,21237.8
nor,2021,23736.7
nor,2022,25544.6
nor,2023,24558.7
nor,2024,25707.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,36228.4
che,2009,40061.2
che,2010,44897.7
che,2011,51701.5
che,2012,53574.9
che,2013,53643.4
che,2014,55505.2
che,2015,63715.7
che,2016,63167.8
che,2017,62625.2
che,2018,60897.5
che,2019,64642.2
che,2020,68920.3
che,2021,70153.9
che,2022,78044.5
che,2023,83879.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,95644.7
gbr,2009,90561.7
gbr,2010,95654.2
gbr,2011,93962.3
gbr,2012,101361.5
gbr,2013,96444
gbr,2014,101430.3
gbr,2015,114928.9
gbr,2016,106460.2
gbr,2017,103298.8
gbr,2018,106077.7
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,1109.8
bih,2009,1195.7
bih,2010,1158.3
bih,2011,1210.9
bih,2012,1202.3
bih,2013,1198.7
bih,2014,1230.3
bih,2015,1248.5
bih,2016,1233
bih,2017,1233.3
bih,2018,1259.5
bih,2019,1321.1
bih,2020,1384.7
bih,2021,1422.9
bih,2022,1604.1
bih,2023,1781.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,269.3
mne,2009,255.3
mne,2010,256.7
mne,2011,258.8
mne,2012,247.7
mne,2013,248
mne,2014,250.8
mne,2015,271.7
mne,2016,292.3
mne,2017,307.2
mne,2018,314.7
mne,2019,332.1
mne,2020,327.5
mne,2021,338.3
mne,2022,339.3
mne,2023,411.4
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,509.1
mkd,2009,544.9
mkd,2010,546.2
mkd,2011,586
mkd,2012,606.1
mkd,2013,471.9
mkd,2014,469
mkd,2015,496.4
mkd,2016,529
mkd,2017,539
mkd,2018,526.4
mkd,2019,553.4
mkd,2020,580.9
mkd,2021,581.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,391
alb,2009,412.8
alb,2010,421.7
alb,2011,449.2
alb,2012,454.5
alb,2013,464.2
alb,2014,480.6
alb,2015,505.5
alb,2016,541.2
alb,2017,618.2
alb,2018,668.9
alb,2019,732.5
alb,2020,744.9
alb,2021,809.2
alb,2022,880.9
alb,2023,1123.6
alb,2024,
