country,year,loner_lop_offent_forsvar
mkd,2008,299.5
mkd,2009,329.8
mkd,2010,335.8
mkd,2011,341.1
mkd,2012,346.2
mkd,2013,335.8
mkd,2014,343.1
mkd,2015,368.1
mkd,2016,386.8
mkd,2017,390.9
mkd,2018,394.6
mkd,2019,412.5
mkd,2020,433.2
mkd,2021,448
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,325.5
alb,2014,335.3
alb,2015,342
alb,2016,368.3
alb,2017,422.4
alb,2018,456
alb,2019,505.5
alb,2020,504.8
alb,2021,540.3
alb,2022,571.9
alb,2023,764.3
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1824
srb,2009,1629
srb,2010,1266.8
srb,2011,1475.5
srb,2012,1466.8
srb,2013,1538.2
srb,2014,1466.3
srb,2015,1249.7
srb,2016,1211.5
srb,2017,1492.4
srb,2018,1698
srb,2019,1882.5
srb,2020,2037.4
srb,2021,2081
srb,2022,2168.4
srb,2023,2406
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,18005
tur,2010,22170.1
tur,2011,21802.3
tur,2012,26054.4
tur,2013,26076.3
tur,2014,25920
tur,2015,27452.5
tur,2016,29224.4
tur,2017,25963
tur,2018,24644.9
tur,2019,27956.6
tur,2020,25631.1
tur,2021,23558.8
tur,2022,24667.7
tur,2023,34702
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
