country,year,foradl_fast_halso_soc
fin,2016,21639
fin,2017,21415.2
fin,2018,21778.4
fin,2019,21845.7
fin,2020,20747
fin,2021,21890.3
fin,2022,21796.6
fin,2023,22616.7
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,48215.5
swe,2009,49267.4
swe,2010,49677
swe,2011,49764.9
swe,2012,48979.1
swe,2013,49030.9
swe,2014,49333.2
swe,2015,50609.8
swe,2016,52729.4
swe,2017,52056.9
swe,2018,51419
swe,2019,50897.4
swe,2020,47017.2
swe,2021,48744.6
swe,2022,48187
swe,2023,47693.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1578.7
isl,2009,1530.8
isl,2010,1478.3
isl,2011,1476.5
isl,2012,1452.8
isl,2013,1465.7
isl,2014,1462
isl,2015,1460.7
isl,2016,1473.4
isl,2017,1516.5
isl,2018,1588.5
isl,2019,1650.5
isl,2020,1736.1
isl,2021,1776.1
isl,2022,1816.9
isl,2023,1856.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,32364.7
nor,2009,32524.8
nor,2010,33051
nor,2011,33309.9
nor,2012,34230.6
nor,2013,34527
nor,2014,34778
nor,2015,35574.1
nor,2016,36032.1
nor,2017,36539.2
nor,2018,36514.9
nor,2019,36725.2
nor,2020,34209.6
nor,2021,35449.4
nor,2022,36981.9
nor,2023,37450.4
nor,2024,38194.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,36881.4
che,2009,38122.2
che,2010,38418.5
che,2011,39439.5
che,2012,41417.3
che,2013,42752.5
che,2014,44087.7
che,2015,45109.1
che,2016,47309.4
che,2017,49016.9
che,2018,50115.8
che,2019,52402.9
che,2020,52622.2
che,2021,55300.8
che,2022,57623.7
che,2023,59865.1
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,206
mne,2009,204.4
mne,2010,177.4
mne,2011,171.5
mne,2012,171.9
mne,2013,174
mne,2014,178.3
mne,2015,183.1
mne,2016,179.2
mne,2017,183.5
mne,2018,189.4
mne,2019,192
mne,2020,184.1
mne,2021,197.8
mne,2022,204.8
mne,2023,212.9
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,439.7
mkd,2009,411.9
mkd,2010,407.8
mkd,2011,347.3
mkd,2012,336.1
mkd,2013,366.3
mkd,2014,404.7
mkd,2015,440
mkd,2016,448.7
mkd,2017,446.3
mkd,2018,447.9
mkd,2019,472.4
mkd,2020,490.4
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,177.7
alb,2009,197.3
alb,2010,215.3
alb,2011,223.7
alb,2012,231.2
alb,2013,244.1
alb,2014,275.1
alb,2015,282.6
alb,2016,307.8
alb,2017,334.7
alb,2018,349.7
alb,2019,373.8
alb,2020,394.3
alb,2021,484.8
alb,2022,490.9
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1895.4
srb,2009,1775.5
srb,2010,2264.4
srb,2011,2257.3
srb,2012,2297.1
srb,2013,2312.8
srb,2014,2343.4
srb,2015,2099.1
srb,2016,2074.5
srb,2017,1844.8
srb,2018,1927.8
srb,2019,1886.4
srb,2020,1969.8
srb,2021,1980
srb,2022,2028.3
srb,2023,2036.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,10254.7
tur,2009,10694.5
tur,2010,10952.5
tur,2011,11853.5
tur,2012,12219.1
tur,2013,12997.1
tur,2014,13111
tur,2015,13334.6
tur,2016,14323.5
tur,2017,14538.8
tur,2018,15673.3
tur,2019,16456.6
tur,2020,17779.5
tur,2021,20085.4
tur,2022,21437.4
tur,2023,22110.6
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
