country,year,foradl_fast_jur_veten
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,12537.7
nor,2009,12106.1
nor,2010,12071.3
nor,2011,11995.7
nor,2012,12976.3
nor,2013,13506.8
nor,2014,13681.2
nor,2015,13210.1
nor,2016,12710
nor,2017,13088.8
nor,2018,14048.8
nor,2019,15336.1
nor,2020,15197.1
nor,2021,15531.3
nor,2022,17017
nor,2023,17729.9
nor,2024,17855.4
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,39789.4
che,2009,40378
che,2010,40554.9
che,2011,40974.6
che,2012,41738.1
che,2013,42396.3
che,2014,44631.2
che,2015,45345.2
che,2016,45178.6
che,2017,45356.6
che,2018,49204.2
che,2019,48820.8
che,2020,51010.6
che,2021,54194.3
che,2022,55458.7
che,2023,55587.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,89.3
mne,2009,88.8
mne,2010,94.2
mne,2011,96.8
mne,2012,100.7
mne,2013,103.6
mne,2014,107.1
mne,2015,111.6
mne,2016,111.6
mne,2017,129.6
mne,2018,142
mne,2019,169
mne,2020,160.4
mne,2021,180.6
mne,2022,187.8
mne,2023,205.2
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,191
mkd,2009,138.4
mkd,2010,155.5
mkd,2011,180.3
mkd,2012,164.1
mkd,2013,186.9
mkd,2014,191.4
mkd,2015,195.1
mkd,2016,210.2
mkd,2017,228.4
mkd,2018,252.5
mkd,2019,270.3
mkd,2020,251.9
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,195.9
alb,2009,245
alb,2010,236.2
alb,2011,233.1
alb,2012,287.2
alb,2013,305.2
alb,2014,367.7
alb,2015,374.2
alb,2016,368.4
alb,2017,429.8
alb,2018,477.8
alb,2019,492.7
alb,2020,421.1
alb,2021,426.1
alb,2022,512.4
alb,2023,531.2
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2279.5
srb,2009,2332.2
srb,2010,2342.3
srb,2011,2260.9
srb,2012,2276.5
srb,2013,2131.7
srb,2014,2088.6
srb,2015,2067.8
srb,2016,2137.8
srb,2017,2195.8
srb,2018,2244.3
srb,2019,2386.9
srb,2020,2348.9
srb,2021,2553.7
srb,2022,2735.5
srb,2023,3061.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,7249.6
tur,2009,7445.8
tur,2010,8067.4
tur,2011,8777.9
tur,2012,9349.9
tur,2013,10031.2
tur,2014,10710.4
tur,2015,12481.3
tur,2016,12539.1
tur,2017,13928.9
tur,2018,13593.6
tur,2019,13689.5
tur,2020,13822.5
tur,2021,15893.6
tur,2022,17743.4
tur,2023,17301.3
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
