country,year,foradl_fast_hyror
prt,2015,13875.1
prt,2016,13690.9
prt,2017,13723.7
prt,2018,13592.9
prt,2019,13680.9
prt,2020,13714.7
prt,2021,13656.9
prt,2022,13835.9
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,8821.2
rou,2009,8972.4
rou,2010,9563.1
rou,2011,9790.3
rou,2012,9802.2
rou,2013,9802.5
rou,2014,10193.2
rou,2015,11287.7
rou,2016,11499.4
rou,2017,12126.3
rou,2018,12155.9
rou,2019,13517.1
rou,2020,13733.2
rou,2021,14834.6
rou,2022,16032.4
rou,2023,16102
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2262.9
svn,2009,2266.7
svn,2010,2317.3
svn,2011,2321
svn,2012,2362.8
svn,2013,2381.1
svn,2014,2402
svn,2015,2397
svn,2016,2395.1
svn,2017,2417.8
svn,2018,2434.9
svn,2019,2455.2
svn,2020,2466.4
svn,2021,2496.8
svn,2022,2542.4
svn,2023,2565.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,5891.2
svk,2009,5388.5
svk,2010,5429.6
svk,2011,5134.1
svk,2012,5012
svk,2013,4603.3
svk,2014,4870.3
svk,2015,5064.4
svk,2016,5459.7
svk,2017,5826.2
svk,2018,6289.4
svk,2019,6663.3
svk,2020,7015.4
svk,2021,7480.1
svk,2022,7644.4
svk,2023,7180
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,15190.3
fin,2009,14773
fin,2010,14711.2
fin,2011,15573.4
fin,2012,15559.5
fin,2013,15719.6
fin,2014,15858.3
fin,2015,16077.1
fin,2016,16419.6
fin,2017,16604.2
fin,2018,17131.4
fin,2019,17429.1
fin,2020,17873
fin,2021,18362.8
fin,2022,18877.1
fin,2023,19314.7
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,13474.7
swe,2009,13460.8
swe,2010,12772.4
swe,2011,12201.6
swe,2012,13165.3
swe,2013,13164
swe,2014,13225.1
swe,2015,11860.9
swe,2016,11945.4
swe,2017,12170.7
swe,2018,11685.2
swe,2019,11846.3
swe,2020,11311.8
swe,2021,10624
swe,2022,10290.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1723.9
isl,2009,1718.1
isl,2010,1735
isl,2011,1769.5
isl,2012,1792.9
isl,2013,1828.1
isl,2014,1837.4
isl,2015,1857.9
isl,2016,1900.4
isl,2017,1977.1
isl,2018,2010.3
isl,2019,2135.8
isl,2020,2115.6
isl,2021,2190.7
isl,2022,2197.2
isl,2023,2265.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,9006.6
nor,2009,8379.8
nor,2010,8629.4
nor,2011,8774.7
nor,2012,8779.9
nor,2013,9232.9
nor,2014,9423
nor,2015,9937.2
nor,2016,9939.8
nor,2017,10105
nor,2018,10306
nor,2019,11044.8
nor,2020,10708.9
nor,2021,11224.2
nor,2022,12342.2
nor,2023,12539.4
nor,2024,12713.9
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,1051.2
mkd,2009,1040.9
mkd,2010,1056.1
mkd,2011,1060.6
mkd,2012,1074.1
mkd,2013,1063.8
mkd,2014,1051.2
mkd,2015,1071.6
mkd,2016,1039.9
mkd,2017,1012.9
mkd,2018,1017.4
mkd,2019,1027.9
mkd,2020,1038.8
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
