country,year,foradl_lop_jur_veten_admin
srb,2023,5809.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,22189.9
tur,2009,20833.7
tur,2010,25083.3
tur,2011,25925.1
tur,2012,30756.9
tur,2013,33432.7
tur,2014,34144.5
tur,2015,40298.9
tur,2016,41354
tur,2017,41249.4
tur,2018,34234.9
tur,2019,35795.1
tur,2020,29653.8
tur,2021,32565.6
tur,2022,39396.5
tur,2023,52833.9
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
