country,year,foradl_lop_bruk
mkd,2011,705.4
mkd,2012,690.6
mkd,2013,817.2
mkd,2014,871.4
mkd,2015,882.5
mkd,2016,885.8
mkd,2017,790.3
mkd,2018,910.1
mkd,2019,915.9
mkd,2020,929.9
mkd,2021,845.9
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,1396.9
alb,2009,1355.5
alb,2010,1491.4
alb,2011,1559.7
alb,2012,1676.2
alb,2013,1824.5
alb,2014,1927.6
alb,2015,1938.3
alb,2016,2076.8
alb,2017,2128.1
alb,2018,2332
alb,2019,2527.5
alb,2020,2516.2
alb,2021,2712.2
alb,2022,3068.8
alb,2023,3533.6
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2359.4
srb,2009,2023.7
srb,2010,2008.7
srb,2011,2340.2
srb,2012,2119.8
srb,2013,2392.5
srb,2014,2264.3
srb,2015,2086.5
srb,2016,2177.9
srb,2017,2065
srb,2018,2327
srb,2019,2292.1
srb,2020,2477.6
srb,2021,2883.7
srb,2022,3389.9
srb,2023,2847.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,39053.4
tur,2009,37554.6
tur,2010,52443.6
tur,2011,49122.3
tur,2012,52601.2
tur,2013,48049.7
tur,2014,46359.7
tur,2015,53370.2
tur,2016,48255
tur,2017,45923.6
tur,2018,38164.7
tur,2019,43476.7
tur,2020,41806.2
tur,2021,38196.5
tur,2022,55851.2
tur,2023,63474.3
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
