country,year,foradl_lop_kreativ
rou,2012,1791.6
rou,2013,1857.6
rou,2014,2090.8
rou,2015,2323.1
rou,2016,2494.8
rou,2017,2603.4
rou,2018,3130.9
rou,2019,3689.4
rou,2020,2413
rou,2021,2642.7
rou,2022,3080.3
rou,2023,3697.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,393.2
svn,2009,396.5
svn,2010,414.4
svn,2011,404.3
svn,2012,395.8
svn,2013,377.1
svn,2014,375.8
svn,2015,374.5
svn,2016,395.5
svn,2017,404.6
svn,2018,415.9
svn,2019,434.5
svn,2020,341.2
svn,2021,363
svn,2022,485.4
svn,2023,519.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,641.8
svk,2009,1153.7
svk,2010,1208.1
svk,2011,1340.8
svk,2012,1515
svk,2013,1544
svk,2014,1676.6
svk,2015,2000.1
svk,2016,1880.1
svk,2017,1950
svk,2018,2114
svk,2019,2117.4
svk,2020,1348.7
svk,2021,1919.7
svk,2022,1141.4
svk,2023,1223.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1063
fin,2009,1062
fin,2010,1111
fin,2011,1213
fin,2012,1217
fin,2013,1204
fin,2014,1118
fin,2015,1164
fin,2016,1235
fin,2017,1238
fin,2018,1321
fin,2019,1381
fin,2020,1261
fin,2021,1293
fin,2022,1429
fin,2023,1565
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2219.3
swe,2009,1971.3
swe,2010,2257.6
swe,2011,2552.3
swe,2012,2676.8
swe,2013,2880.1
swe,2014,2740
swe,2015,2741.8
swe,2016,2754.4
swe,2017,2820.9
swe,2018,2727.8
swe,2019,3061.3
swe,2020,2882.6
swe,2021,3109.3
swe,2022,3580.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,66
isl,2009,56.3
isl,2010,63.3
isl,2011,68.4
isl,2012,66.5
isl,2013,74.4
isl,2014,86.8
isl,2015,105
isl,2016,122.6
isl,2017,148.7
isl,2018,148.7
isl,2019,141
isl,2020,125
isl,2021,143.4
isl,2022,163.6
isl,2023,163.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1977.7
nor,2009,1916.5
nor,2010,2126.5
nor,2011,2111.3
nor,2012,2196.2
nor,2013,2059.8
nor,2014,1995.7
nor,2015,2013.3
nor,2016,1662
nor,2017,1651.9
nor,2018,1648.3
nor,2019,1700.4
nor,2020,1431.9
nor,2021,1730.9
nor,2022,1973.8
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1465.6
che,2009,1584.5
che,2010,1681.9
che,2011,1869.7
che,2012,1797.2
che,2013,1750
che,2014,1782.9
che,2015,1877.3
che,2016,1978
che,2017,1896.7
che,2018,1856.5
che,2019,2043.4
che,2020,1701
che,2021,1748.5
che,2022,2416.6
che,2023,2543.8
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,14551.4
gbr,2009,12806.7
gbr,2010,13390.6
gbr,2011,14449
gbr,2012,15429.1
gbr,2013,16897.1
gbr,2014,18941.3
gbr,2015,22741.9
gbr,2016,19346.4
gbr,2017,20095.4
gbr,2018,20767.3
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,75.7
bih,2009,82.1
bih,2010,79.6
bih,2011,88.6
bih,2012,95.1
bih,2013,105.2
bih,2014,118.7
bih,2015,129
bih,2016,161.4
bih,2017,188.4
bih,2018,195.2
bih,2019,207.6
bih,2020,181.4
bih,2021,232.6
bih,2022,305.1
bih,2023,350.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,117.4
mkd,2009,124.3
mkd,2010,120
mkd,2011,105.8
mkd,2012,106.5
mkd,2013,119.4
mkd,2014,147.1
mkd,2015,152.5
mkd,2016,167
mkd,2017,180.1
mkd,2018,195.1
mkd,2019,214.5
mkd,2020,178.8
mkd,2021,222
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,257.1
srb,2009,302.9
srb,2010,299.5
srb,2011,340.4
srb,2012,306.5
srb,2013,332.4
srb,2014,319.4
srb,2015,354.6
srb,2016,360.8
srb,2017,386
srb,2018,437.1
srb,2019,458.6
srb,2020,410.4
srb,2021,496.4
srb,2022,698.1
srb,2023,788.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
