country,year,loner_lop_vatten
swe,2005,
swe,2006,
swe,2007,
swe,2008,985.6
swe,2009,896.3
swe,2010,1035.1
swe,2011,1210.9
swe,2012,1327.3
swe,2013,1405
swe,2014,1427.7
swe,2015,1221.8
swe,2016,1250.6
swe,2017,1271.5
swe,2018,1297.8
swe,2019,1321.3
swe,2020,1389.5
swe,2021,1552.1
swe,2022,1598.5
swe,2023,1633.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,30.1
isl,2009,24.9
isl,2010,27.4
isl,2011,31.2
isl,2012,36.9
isl,2013,39.1
isl,2014,45.6
isl,2015,50.3
isl,2016,59.4
isl,2017,77.7
isl,2018,80
isl,2019,73.1
isl,2020,70.5
isl,2021,84.2
isl,2022,85.1
isl,2023,93.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,807.7
nor,2009,729.3
nor,2010,848.9
nor,2011,931.3
nor,2012,1022.1
nor,2013,1052.2
nor,2014,1052.4
nor,2015,1040.8
nor,2016,1073.1
nor,2017,1127.7
nor,2018,1169.4
nor,2019,1213.4
nor,2020,1176.7
nor,2021,1313.9
nor,2022,1449.2
nor,2023,1389.6
nor,2024,1467.3
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,976.1
che,2012,1041.1
che,2013,1055
che,2014,1082.7
che,2015,1241.9
che,2016,1255.3
che,2017,1254.5
che,2018,1224.5
che,2019,1306.8
che,2020,1355.5
che,2021,1397.4
che,2022,1580.5
che,2023,1715.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,8098.9
gbr,2009,7139.7
gbr,2010,7781.2
gbr,2011,7873.2
gbr,2012,8220.8
gbr,2013,8167.1
gbr,2014,8962.7
gbr,2015,10069.7
gbr,2016,9280.3
gbr,2017,9623.9
gbr,2018,9846.2
gbr,2019,
gbr,2020,
