country,year,foradl_lop_livs
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3917.5
nor,2009,3566.4
nor,2010,4305.7
nor,2011,4491.7
nor,2012,4808.1
nor,2013,4813
nor,2014,4823.9
nor,2015,4643.2
nor,2016,4739.6
nor,2017,5053.8
nor,2018,5103.9
nor,2019,5270.9
nor,2020,4771.8
nor,2021,4781
nor,2022,5272
nor,2023,5778.7
nor,2024,6112.6
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,6742.3
che,2009,7096.4
che,2010,8136
che,2011,10151.3
che,2012,10192.4
che,2013,9957
che,2014,9877
che,2015,10998.7
che,2016,11388.2
che,2017,11583.6
che,2018,10066.4
che,2019,11203
che,2020,12372.9
che,2021,12631.9
che,2022,12621.3
che,2023,13879
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,31845.6
gbr,2009,29670.9
gbr,2010,30918.4
gbr,2011,29950
gbr,2012,32678.5
gbr,2013,32974.6
gbr,2014,34726.8
gbr,2015,39442.6
gbr,2016,33256.5
gbr,2017,33158.4
gbr,2018,33987.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,336.5
bih,2009,363.4
bih,2010,356.6
bih,2011,352.7
bih,2012,350
bih,2013,348.6
bih,2014,353
bih,2015,351.9
bih,2016,369.7
bih,2017,389
bih,2018,397.5
bih,2019,440.3
bih,2020,414.4
bih,2021,451.6
bih,2022,503.5
bih,2023,583
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,111.4
mkd,2009,104.8
mkd,2010,202.6
mkd,2011,149.4
mkd,2012,154.3
mkd,2013,224.3
mkd,2014,243.4
mkd,2015,241.5
mkd,2016,274.4
mkd,2017,285.8
mkd,2018,313.7
mkd,2019,331.4
mkd,2020,303.9
mkd,2021,316.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
