country,year,foradl_lop_post
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1116.7
nor,2009,1248.1
nor,2010,1388.1
nor,2011,1437
nor,2012,1293.6
nor,2013,1323.2
nor,2014,1226.3
nor,2015,1175.4
nor,2016,1115.3
nor,2017,1110.3
nor,2018,1052.3
nor,2019,1021.4
nor,2020,973.9
nor,2021,965.9
nor,2022,918.9
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2607.6
che,2009,2694.8
che,2010,2967.8
che,2011,3444.3
che,2012,3602
che,2013,3001
che,2014,2672.9
che,2015,2976.5
che,2016,2961.5
che,2017,2848.5
che,2018,2831.8
che,2019,2919.7
che,2020,3066.6
che,2021,2965.8
che,2022,3281.8
che,2023,3232.8
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,12549.6
gbr,2009,11249.9
gbr,2010,12289
gbr,2011,12086.9
gbr,2012,14295.8
gbr,2013,14211.2
gbr,2014,13287.1
gbr,2015,14404
gbr,2016,13386.5
gbr,2017,13412.1
gbr,2018,13664.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,58.4
bih,2009,60.6
bih,2010,64.5
bih,2011,65.7
bih,2012,64.7
bih,2013,66.7
bih,2014,72.7
bih,2015,72.1
bih,2016,72.4
bih,2017,73.2
bih,2018,75.5
bih,2019,80.2
bih,2020,81.6
bih,2021,90.5
bih,2022,101.7
bih,2023,118.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,30.7
mkd,2009,30.6
mkd,2010,18.3
mkd,2011,19.3
mkd,2012,19.2
mkd,2013,19.9
mkd,2014,19.2
mkd,2015,19.3
mkd,2016,20.1
mkd,2017,19.2
mkd,2018,18.9
mkd,2019,22.3
mkd,2020,20.3
mkd,2021,14.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,197.4
srb,2009,191.2
srb,2010,156.5
srb,2011,165.9
srb,2012,148.9
srb,2013,154.9
srb,2014,179.9
srb,2015,191.5
srb,2016,196.5
srb,2017,199.8
srb,2018,206.2
srb,2019,212.1
srb,2020,216.4
srb,2021,220.5
srb,2022,206.8
srb,2023,251.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
