country,year,loner_lop_industri
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,622.5
mkd,2009,591.7
mkd,2010,607.9
mkd,2011,639
mkd,2012,632.8
mkd,2013,625
mkd,2014,694.1
mkd,2015,721.6
mkd,2016,779.7
mkd,2017,875.8
mkd,2018,963.8
mkd,2019,1015.6
mkd,2020,1037.7
mkd,2021,1071.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,329.2
alb,2014,317.4
alb,2015,462.6
alb,2016,454.6
alb,2017,493.1
alb,2018,550
alb,2019,594.6
alb,2020,589.2
alb,2021,664.8
alb,2022,769.9
alb,2023,914.2
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,3346.5
srb,2009,3060.6
srb,2010,2816.4
srb,2011,3102.2
srb,2012,3110.1
srb,2013,3296.7
srb,2014,3162.5
srb,2015,3149.3
srb,2016,3360.8
srb,2017,3725.6
srb,2018,4130.1
srb,2019,4766.2
srb,2020,5220.4
srb,2021,5793.6
srb,2022,6455.7
srb,2023,7458.4
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,32237.3
tur,2009,28378.4
tur,2010,36072.5
tur,2011,36387.3
tur,2012,43275.4
tur,2013,46113.8
tur,2014,47148.1
tur,2015,52624.1
tur,2016,58362.3
tur,2017,54101.9
tur,2018,46508.2
tur,2019,50413
tur,2020,44555.3
tur,2021,47265.1
tur,2022,52550.6
tur,2023,76313.8
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
