country,year,loner_lop_gruv
gbr,2008,5211.7
gbr,2009,4891.5
gbr,2010,5274.9
gbr,2011,5578
gbr,2012,6639.8
gbr,2013,6473.9
gbr,2014,6837.7
gbr,2015,7581.6
gbr,2016,5803.7
gbr,2017,5054.4
gbr,2018,5326
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,198.6
bih,2009,204.7
bih,2010,209.3
bih,2011,243
bih,2012,244.6
bih,2013,247.4
bih,2014,242.4
bih,2015,246.3
bih,2016,230.6
bih,2017,226.9
bih,2018,236.6
bih,2019,240.5
bih,2020,239.7
bih,2021,231.2
bih,2022,251.2
bih,2023,279.2
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,27
mkd,2009,23.5
mkd,2010,26.2
mkd,2011,29.2
mkd,2012,28.5
mkd,2013,29.2
mkd,2014,30.9
mkd,2015,31.9
mkd,2016,30.3
mkd,2017,37.2
mkd,2018,42
mkd,2019,43
mkd,2020,45.4
mkd,2021,47.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,86.1
alb,2014,80.5
alb,2015,68.3
alb,2016,81.6
alb,2017,69.7
alb,2018,94
alb,2019,82
alb,2020,78.2
alb,2021,76.7
alb,2022,95.7
alb,2023,117.5
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,297.6
srb,2009,283.5
srb,2010,276.7
srb,2011,338.2
srb,2012,341.7
srb,2013,388.3
srb,2014,362.1
srb,2015,365.6
srb,2016,331.7
srb,2017,389.3
srb,2018,422.2
srb,2019,482.6
srb,2020,522.3
srb,2021,509
srb,2022,570.4
srb,2023,646.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,1456
tur,2010,1837.2
tur,2011,1847.9
tur,2012,2071
tur,2013,2183.4
tur,2014,2148.8
tur,2015,2325.6
tur,2016,2449.7
tur,2017,2305.4
tur,2018,1950.6
tur,2019,2073.5
tur,2020,1817.6
tur,2021,1874.9
tur,2022,2069.1
tur,2023,2889.8
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
