country,year,foradl_fast_finans_ej_forsakring
swe,2018,10969.8
swe,2019,10958.1
swe,2020,11882.5
swe,2021,12110.9
swe,2022,12493.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1041.2
isl,2009,958.1
isl,2010,854.5
isl,2011,823.9
isl,2012,748
isl,2013,697.3
isl,2014,685.9
isl,2015,639.3
isl,2016,639.2
isl,2017,685.6
isl,2018,724.2
isl,2019,754.3
isl,2020,798.6
isl,2021,875.1
isl,2022,900.6
isl,2023,895.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,9658.3
nor,2009,9972
nor,2010,9631.3
nor,2011,8885.4
nor,2012,9090.4
nor,2013,9502.7
nor,2014,9871.1
nor,2015,10707.7
nor,2016,11204.9
nor,2017,11425.3
nor,2018,11205.1
nor,2019,11449
nor,2020,12226
nor,2021,12148.1
nor,2022,12371.4
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,30590.6
che,2009,27783.4
che,2010,28427.9
che,2011,28523.1
che,2012,29135
che,2013,31328.2
che,2014,31144
che,2015,31032.8
che,2016,31108.9
che,2017,30725.6
che,2018,31680.6
che,2019,32725.7
che,2020,35747.3
che,2021,40743.3
che,2022,39304.2
che,2023,35335.9
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
