country,year,loner_lop_mobel_smyck
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1547
fin,2009,1461
fin,2010,1421
fin,2011,1508
fin,2012,1542
fin,2013,1493
fin,2014,1433
fin,2015,1478
fin,2016,1447
fin,2017,1484
fin,2018,1574
fin,2019,1644
fin,2020,1611
fin,2021,1710
fin,2022,1846
fin,2023,1944
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2069.2
swe,2009,1837.4
swe,2010,1979.8
swe,2011,2185.1
swe,2012,2258.4
swe,2013,2203
swe,2014,2110.2
swe,2015,2064.8
swe,2016,2090.8
swe,2017,2038
swe,2018,1981.2
swe,2019,1937.6
swe,2020,1991.3
swe,2021,2135.8
swe,2022,2129.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,71.2
isl,2009,56.1
isl,2010,65.1
isl,2011,80.6
isl,2012,88.9
isl,2013,97.2
isl,2014,106.8
isl,2015,125.9
isl,2016,149.4
isl,2017,168.6
isl,2018,166.8
isl,2019,168.4
isl,2020,167.8
isl,2021,193.2
isl,2022,218.2
isl,2023,222.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1946.1
nor,2009,1640.2
nor,2010,1829.1
nor,2011,1944.9
nor,2012,2200.1
nor,2013,2289.4
nor,2014,2225.7
nor,2015,2096.7
nor,2016,1955.3
nor,2017,1972.2
nor,2018,1991.6
nor,2019,2163.2
nor,2020,1869
nor,2021,2066.5
nor,2022,2236.5
nor,2023,2177.6
nor,2024,2304.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,3409.9
che,2012,3554.9
che,2013,3407.9
che,2014,3490.6
che,2015,4011.9
che,2016,3946.5
che,2017,3849.2
che,2018,3812.2
che,2019,4141.9
che,2020,4312.4
che,2021,4549
che,2022,5189.2
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,11885.3
gbr,2009,9890.7
gbr,2010,10836.5
gbr,2011,10765.3
gbr,2012,11946.4
gbr,2013,12605.1
gbr,2014,13364
gbr,2015,14669.9
gbr,2016,13540.3
gbr,2017,13142.9
gbr,2018,13731.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,64.1
bih,2009,69.7
bih,2010,68.6
bih,2011,65.7
bih,2012,74.4
bih,2013,74
bih,2014,72.2
bih,2015,80.8
bih,2016,91.1
bih,2017,98.2
bih,2018,111.5
