country,year,foradl_lop_annan_jur
nor,2019,1173.2
nor,2020,994.8
nor,2021,1239.7
nor,2022,1391.5
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1447.6
che,2009,1580.3
che,2010,1654.5
che,2011,1913.3
che,2012,1893.1
che,2013,1947.5
che,2014,2063.5
che,2015,2421.2
che,2016,2445.9
che,2017,2532.7
che,2018,2482.6
che,2019,2658.6
che,2020,2507.9
che,2021,2760.8
che,2022,3095.2
che,2023,3364.5
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,10328
gbr,2009,9492.2
gbr,2010,9965.7
gbr,2011,10191.5
gbr,2012,11054.8
gbr,2013,12114.1
gbr,2014,13545.1
gbr,2015,15152.1
gbr,2016,15347.5
gbr,2017,15380.9
gbr,2018,15565.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,64.4
bih,2009,68
bih,2010,71.1
bih,2011,70.4
bih,2012,73.7
bih,2013,70.2
bih,2014,41.3
bih,2015,41.8
bih,2016,48.5
bih,2017,50.2
bih,2018,51.9
bih,2019,50.8
bih,2020,57.2
bih,2021,64.6
bih,2022,71.3
bih,2023,88.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,17.3
mkd,2009,14
mkd,2010,15.3
mkd,2011,13.4
mkd,2012,12.8
mkd,2013,14
mkd,2014,14
mkd,2015,14.5
mkd,2016,20.3
mkd,2017,21.4
mkd,2018,21.2
mkd,2019,22.7
mkd,2020,22.5
mkd,2021,29.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
