country,year,foradl_lop_prod_film
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,58.6
isl,2009,54.4
isl,2010,62.4
isl,2011,46.7
isl,2012,50.9
isl,2013,53.9
isl,2014,48.7
isl,2015,60.9
isl,2016,69.4
isl,2017,73.2
isl,2018,54
isl,2019,52.1
isl,2020,49.6
isl,2021,55
isl,2022,64.7
isl,2023,66.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,918.9
nor,2009,814.8
nor,2010,969.5
nor,2011,1051
nor,2012,1187
nor,2013,1149.9
nor,2014,1105
nor,2015,1080.9
nor,2016,1065.6
nor,2017,1064.7
nor,2018,1053
nor,2019,1095.7
nor,2020,711.7
nor,2021,789.5
nor,2022,877.2
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1130.9
che,2009,1215.9
che,2010,1248.9
che,2011,1316.9
che,2012,1297.1
che,2013,1282.4
che,2014,1366
che,2015,1450.4
che,2016,1479.9
che,2017,1427
che,2018,1403.3
che,2019,1397.6
che,2020,1344
che,2021,1407.3
che,2022,1538.1
che,2023,1560.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,19015.9
gbr,2009,17058.4
gbr,2010,17924.1
gbr,2011,18446.1
gbr,2012,21076.1
gbr,2013,20898.2
gbr,2014,22055
gbr,2015,26573.3
gbr,2016,25227
gbr,2017,23218.5
gbr,2018,22772.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,56.8
bih,2009,52.7
bih,2010,55.4
bih,2011,54.8
bih,2012,57.9
bih,2013,60.1
bih,2014,62.7
bih,2015,61.5
bih,2016,60.9
bih,2017,72
bih,2018,72.2
bih,2019,78.3
bih,2020,73.5
bih,2021,75.7
bih,2022,89.4
bih,2023,94.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,17.9
mkd,2009,19.2
mkd,2010,20.8
mkd,2011,29.7
mkd,2012,26.6
mkd,2013,29
mkd,2014,32.9
mkd,2015,33.9
mkd,2016,34.5
mkd,2017,36.9
mkd,2018,31
mkd,2019,30.9
mkd,2020,28.9
mkd,2021,32.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
