country,year,foradl_lop_rep_dator_pers
swe,2005,
swe,2006,
swe,2007,
swe,2008,429.9
swe,2009,357.2
swe,2010,401.1
swe,2011,417.4
swe,2012,433.5
swe,2013,435.6
swe,2014,400.2
swe,2015,389.7
swe,2016,405.9
swe,2017,410.5
swe,2018,342.4
swe,2019,334.4
swe,2020,301.1
swe,2021,311.5
swe,2022,332.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,9.9
isl,2009,7.7
isl,2010,8.8
isl,2011,9.1
isl,2012,9
isl,2013,7.9
isl,2014,10.5
isl,2015,13
isl,2016,14.6
isl,2017,17.9
isl,2018,18.9
isl,2019,8.9
isl,2020,5.4
isl,2021,5
isl,2022,6.5
isl,2023,6.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,101.9
nor,2009,133.7
nor,2010,134.7
nor,2011,146.1
nor,2012,156.8
nor,2013,158.5
nor,2014,154.6
nor,2015,131.5
nor,2016,134.4
nor,2017,130.4
nor,2018,130.8
nor,2019,135.8
nor,2020,105.4
nor,2021,121.6
nor,2022,114.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,197.7
che,2009,205.3
che,2010,230
che,2011,253.1
che,2012,266.9
che,2013,270.1
che,2014,268
che,2015,292.7
che,2016,274.5
che,2017,271.6
che,2018,263.4
che,2019,273.4
che,2020,278.2
che,2021,301.7
che,2022,352.8
che,2023,345.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,2146.2
gbr,2009,1873.3
gbr,2010,2082
gbr,2011,2446.2
gbr,2012,2432
gbr,2013,2453.9
gbr,2014,3121.1
gbr,2015,3517.3
gbr,2016,3584
gbr,2017,3374.1
gbr,2018,3467.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
