country,year,foradl_lop_finans_ej_forsakring
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,7275.2
nor,2009,8490.6
nor,2010,9229.7
nor,2011,9131.4
nor,2012,11697
nor,2013,13174.5
nor,2014,12458.8
nor,2015,11912.3
nor,2016,11948.9
nor,2017,12647.4
nor,2018,11707.7
nor,2019,11808.4
nor,2020,12226
nor,2021,11635.7
nor,2022,11522.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,25880.7
che,2009,25214.1
che,2010,27065
che,2011,29557.2
che,2012,30253.6
che,2013,30668.4
che,2014,29916.6
che,2015,33782.8
che,2016,32876.7
che,2017,31292.8
che,2018,32057.8
che,2019,34465.4
che,2020,35747.3
che,2021,37729.9
che,2022,42144.6
che,2023,43830.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,84253
gbr,2009,84027
gbr,2010,88724
gbr,2011,88012.2
gbr,2012,87477.6
gbr,2013,83588.1
gbr,2014,83344.9
gbr,2015,95815.9
gbr,2016,89102.8
gbr,2017,81297.4
gbr,2018,81832.5
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,389.2
bih,2009,404
bih,2010,406.8
bih,2011,429.6
bih,2012,421.1
bih,2013,422.1
bih,2014,427.2
bih,2015,446.2
bih,2016,461.3
bih,2017,491.9
bih,2018,518
bih,2019,534.2
bih,2020,515.3
bih,2021,549.9
bih,2022,612
bih,2023,741.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,147.2
mkd,2009,153.5
mkd,2010,125.5
mkd,2011,127.5
mkd,2012,165.7
mkd,2013,161
mkd,2014,184
mkd,2015,205.3
mkd,2016,213.7
mkd,2017,240.9
mkd,2018,242.7
mkd,2019,245.1
mkd,2020,260.4
mkd,2021,282.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,704.2
srb,2009,744.3
srb,2010,741
srb,2011,834.5
srb,2012,786.4
srb,2013,810.3
srb,2014,780
srb,2015,806.2
srb,2016,808.8
srb,2017,783.6
srb,2018,899.1
srb,2019,1057.5
srb,2020,1183.4
srb,2021,1271.7
srb,2022,1580.9
srb,2023,2575.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
