country,year,foradl_lop_elek
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,656
svk,2009,435.7
svk,2010,593.1
svk,2011,899.8
svk,2012,662.1
svk,2013,745.9
svk,2014,710.6
svk,2015,876.1
svk,2016,872.2
svk,2017,948.6
svk,2018,1010.2
svk,2019,1157.4
svk,2020,929.6
svk,2021,1020.3
svk,2022,1027.6
svk,2023,1118.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1836
fin,2009,1455
fin,2010,1651
fin,2011,1650
fin,2012,1773
fin,2013,1626
fin,2014,1782
fin,2015,1821
fin,2016,1796
fin,2017,1863
fin,2018,1760
fin,2019,1788
fin,2020,1775
fin,2021,1808
fin,2022,1969
fin,2023,2478
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2325
swe,2009,1683.6
swe,2010,1970.8
swe,2011,2449.7
swe,2012,2275.4
swe,2013,2192
swe,2014,1764.4
swe,2015,2459.6
swe,2016,2275.8
swe,2017,2351.7
swe,2018,2238.7
swe,2019,2073.6
swe,2020,1859.3
swe,2021,2095.6
swe,2022,2235.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,6.2
isl,2009,5.5
isl,2010,8.9
isl,2011,13.4
isl,2012,15.1
isl,2013,18.1
isl,2014,7.7
isl,2015,15.5
isl,2016,14.2
isl,2017,14.3
isl,2018,16
isl,2019,17.5
isl,2020,16.9
isl,2021,13.5
isl,2022,14
isl,2023,14.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,48.9
lie,2017,54.1
lie,2018,55.3
lie,2019,48.1
lie,2020,33.8
lie,2021,45.4
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,854
nor,2009,769.7
nor,2010,886.3
nor,2011,920
nor,2012,1009.5
nor,2013,1074.1
nor,2014,1037.1
nor,2015,822.2
nor,2016,809
nor,2017,849.6
nor,2018,741
nor,2019,751.9
nor,2020,710.1
nor,2021,747.4
nor,2022,796.3
nor,2023,874.2
nor,2024,901.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,4243.9
che,2009,4103.6
che,2010,4207.4
che,2011,4889.2
che,2012,4771.2
che,2013,4822
che,2014,4519.3
che,2015,4972.2
che,2016,4983.9
che,2017,4526.9
che,2018,4050.7
che,2019,4229.6
che,2020,4117.5
che,2021,3854.9
che,2022,4699.4
che,2023,4919
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,5938.9
gbr,2009,4939.7
gbr,2010,5426.4
gbr,2011,4997.2
gbr,2012,5712.4
gbr,2013,5218.7
gbr,2014,6058.7
gbr,2015,6188.7
gbr,2016,5779.3
gbr,2017,5431.9
gbr,2018,5426.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,26.2
bih,2009,23.9
bih,2010,29.7
bih,2011,26.1
bih,2012,29.7
bih,2013,33.5
bih,2014,35.4
bih,2015,36.4
bih,2016,35.5
bih,2017,43.8
bih,2018,51.7
bih,2019,53.6
bih,2020,61.8
bih,2021,76.7
bih,2022,100
bih,2023,130
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,5.1
mkd,2009,11.6
mkd,2010,16.5
mkd,2011,25.2
mkd,2012,33.1
mkd,2013,22.7
mkd,2014,25.5
mkd,2015,30.1
mkd,2016,29.2
mkd,2017,25.3
mkd,2018,28.4
mkd,2019,29.4
mkd,2020,34
mkd,2021,43.1
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,176
srb,2009,152
