country,year,foradl_fast_hotell
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3889.7
nor,2009,3683.4
nor,2010,3583.8
nor,2011,3671.8
nor,2012,3703.7
nor,2013,3878.5
nor,2014,4063.3
nor,2015,4256
nor,2016,4347.6
nor,2017,4368.4
nor,2018,4444.2
nor,2019,4647.8
nor,2020,2865.5
nor,2021,3439.2
nor,2022,4909.9
nor,2023,5096.3
nor,2024,5200.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,13328.4
che,2009,12435.4
che,2010,12565
che,2011,12421.4
che,2012,12002.2
che,2013,12233
che,2014,12251
che,2015,11836.4
che,2016,11818.9
che,2017,12076.6
che,2018,12608.3
che,2019,12789.4
che,2020,7526.9
che,2021,7306
che,2022,11135
che,2023,12312.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,180.3
mne,2009,172.1
mne,2010,188.5
mne,2011,202.3
mne,2012,208.8
mne,2013,214.4
mne,2014,218.4
mne,2015,254.6
mne,2016,259.3
mne,2017,277
mne,2018,296.9
mne,2019,323.8
mne,2020,82.8
mne,2021,308.7
mne,2022,389.6
mne,2023,467.5
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,103.9
mkd,2009,73
mkd,2010,85.5
mkd,2011,79.4
mkd,2012,85.6
mkd,2013,109.8
mkd,2014,121
mkd,2015,128.7
mkd,2016,158.4
mkd,2017,167.3
mkd,2018,174.9
mkd,2019,187.5
mkd,2020,105.8
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,181.8
alb,2009,199.6
alb,2010,218.8
alb,2011,207.5
alb,2012,202.2
alb,2013,189.6
alb,2014,192.8
alb,2015,199.4
alb,2016,222.1
alb,2017,263.1
alb,2018,302.2
alb,2019,356.6
alb,2020,249.4
alb,2021,315.9
alb,2022,419.8
alb,2023,570.5
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,591.7
srb,2009,536.5
srb,2010,523.7
srb,2011,528.7
srb,2012,495.9
srb,2013,479.6
srb,2014,466.3
srb,2015,489.1
srb,2016,527.7
srb,2017,587.7
srb,2018,639.4
srb,2019,679.7
srb,2020,472.9
srb,2021,626.8
srb,2022,722.1
srb,2023,850.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,8757.4
tur,2009,9067.9
tur,2010,9824.4
tur,2011,12043.9
tur,2012,13036.6
tur,2013,14225.3
tur,2014,15338.9
tur,2015,15924.1
tur,2016,14878.3
tur,2017,17039.3
tur,2018,19602.8
tur,2019,20077.7
tur,2020,12990.1
tur,2021,18630.2
tur,2022,24613.1
tur,2023,25621.2
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
