country,year,foradl_lop_hotell
svn,2022,1238.5
svn,2023,1393.3
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,650.2
svk,2009,644.2
svk,2010,787.6
svk,2011,782.9
svk,2012,1004.7
svk,2013,1023.7
svk,2014,944.1
svk,2015,1005.7
svk,2016,1042.1
svk,2017,1078.1
svk,2018,1199.4
svk,2019,1337.7
svk,2020,1219.4
svk,2021,1353.3
svk,2022,1813.1
svk,2023,2233.8
svk,2024,2378.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2696
fin,2009,2594
fin,2010,2673
fin,2011,2800
fin,2012,2948
fin,2013,2754
fin,2014,2799
fin,2015,2915
fin,2016,3076
fin,2017,3350
fin,2018,3478
fin,2019,3649
fin,2020,2550
fin,2021,2562
fin,2022,3579
fin,2023,4112
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4423.4
swe,2009,3984.9
swe,2010,4793.4
swe,2011,5489.7
swe,2012,6199.4
swe,2013,6611.8
swe,2014,6674.3
swe,2015,7167
swe,2016,7715.9
swe,2017,7901.4
swe,2018,7744.9
swe,2019,7728
swe,2020,4990
swe,2021,5973.6
swe,2022,8006.2
swe,2023,8331.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,171
isl,2009,153.1
isl,2010,171.9
isl,2011,192.3
isl,2012,229.8
isl,2013,270.9
isl,2014,341.3
isl,2015,451.9
isl,2016,637.9
isl,2017,758.3
isl,2018,773.8
isl,2019,732
isl,2020,274.6
isl,2021,522.5
isl,2022,874.2
isl,2023,1032.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,44.4
lie,2017,44.2
lie,2018,46.8
lie,2019,50.4
lie,2020,36.8
lie,2021,28.5
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3488.9
nor,2009,3315.3
nor,2010,3683.9
nor,2011,4050.7
nor,2012,4481.9
nor,2013,4540.8
nor,2014,4470.1
nor,2015,4402.1
nor,2016,4472.3
nor,2017,4702.9
nor,2018,4667.5
nor,2019,4863.2
nor,2020,2865.5
nor,2021,3788.3
nor,2022,5639.7
nor,2023,5571.1
nor,2024,5816.9
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,7743.3
che,2009,7986.5
che,2010,8937.7
che,2011,10095.7
che,2012,10039.5
che,2013,10107.1
che,2014,10387.1
che,2015,11590.9
che,2016,11282.5
che,2017,11290.2
che,2018,11264.8
che,2019,11964
che,2020,7526.9
che,2021,7267.7
che,2022,11843.7
che,2023,14158.9
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,46749.9
gbr,2009,38011.5
gbr,2010,42647.8
gbr,2011,45165.2
gbr,2012,50445.8
gbr,2013,50859.6
gbr,2014,56179
gbr,2015,64809
gbr,2016,61624.4
gbr,2017,61390.3
gbr,2018,63580.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,266.9
bih,2009,262
bih,2010,277.8
bih,2011,278.5
bih,2012,283.1
bih,2013,282.2
bih,2014,278
bih,2015,285.6
bih,2016,294.4
bih,2017,331.7
bih,2018,347.6
bih,2019,371.8
bih,2020,255.9
bih,2021,331.1
bih,2022,444.1
bih,2023,516.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,133
mne,2009,152.4
mne,2010,160.7
mne,2011,214.2
mne,2012,217.3
mne,2013,218.1
mne,2014,228.4
mne,2015,275.6
mne,2016,279.6
mne,2017,320.6
mne,2018,341.7
mne,2019,386.3
mne,2020,82.8
mne,2021,325.9
mne,2022,457.4
mne,2023,642.1
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,90.8
mkd,2009,75.5
mkd,2010,84.2
mkd,2011,74.3
mkd,2012,83.2
mkd,2013,104.1
mkd,2014,111.4
mkd,2015,115.3
mkd,2016,149.3
mkd,2017,157.7
mkd,2018,165.8
mkd,2019,177.5
mkd,2020,105.8
mkd,2021,192.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,146.8
alb,2009,153.8
alb,2010,163.5
alb,2011,153.7
alb,2012,153.7
alb,2013,145.6
alb,2014,154.8
alb,2015,160
alb,2016,178.5
alb,2017,223
alb,2018,281.7
alb,2019,350.4
alb,2020,249.4
alb,2021,317.9
alb,2022,480.4
alb,2023,797.6
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,453.8
srb,2009,411.2
srb,2010,368.5
srb,2011,419.9
srb,2012,368.5
srb,2013,400.5
srb,2014,401.3
srb,2015,429
srb,2016,450
srb,2017,518.3
srb,2018,579.7
srb,2019,621.7
srb,2020,472.9
srb,2021,643.2
srb,2022,847.5
srb,2023,1174.8
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,10718.5
tur,2009,10581.5
tur,2010,13452
tur,2011,15423.4
tur,2012,18196.9
tur,2013,19789.4
tur,2014,20298.5
tur,2015,21840.8
tur,2016,20159.8
tur,2017,20344.8
tur,2018,20369.9
tur,2019,22881.6
tur,2020,12990.1
tur,2021,18127.5
tur,2022,27374.8
tur,2023,36395.2
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
