country,year,foradl_lop_fastighet
gbr,2017,282797.4
gbr,2018,291497.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,634.6
bih,2009,666.2
bih,2010,674.7
bih,2011,676.3
bih,2012,691.8
bih,2013,714.2
bih,2014,721.5
bih,2015,734.1
bih,2016,752.8
bih,2017,820.2
bih,2018,852.4
bih,2019,876.2
bih,2020,870.6
bih,2021,906.4
bih,2022,970.3
bih,2023,1074.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,190.8
mne,2009,193.1
mne,2010,182.1
mne,2011,203
mne,2012,218.1
mne,2013,218
mne,2014,224.4
mne,2015,230.1
mne,2016,234
mne,2017,245.3
mne,2018,251
mne,2019,274
mne,2020,265.5
mne,2021,272
mne,2022,329
mne,2023,369.4
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,883.7
mkd,2009,853.1
mkd,2010,916.5
mkd,2011,920.9
mkd,2012,972.9
mkd,2013,978.5
mkd,2014,972.6
mkd,2015,998.5
mkd,2016,968.2
mkd,2017,965.2
mkd,2018,1075.4
mkd,2019,1109.8
mkd,2020,1134
mkd,2021,1219.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,516.1
alb,2009,493.6
alb,2010,477.7
alb,2011,481.1
alb,2012,494.9
alb,2013,533
alb,2014,508.5
alb,2015,523.1
alb,2016,559
alb,2017,625.1
alb,2018,694.8
alb,2019,757.2
alb,2020,775.3
alb,2021,845.1
alb,2022,935.5
alb,2023,1035.1
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2943.7
srb,2009,3120.8
srb,2010,2934.4
srb,2011,2956.4
srb,2012,2884.6
srb,2013,2913.9
srb,2014,2984.9
srb,2015,3027.1
srb,2016,2967.8
srb,2017,3095.5
srb,2018,3277.9
srb,2019,3483.7
srb,2020,3671.2
srb,2021,4080.3
srb,2022,4389.2
srb,2023,5412.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,50952
tur,2009,48586.4
tur,2010,57911.9
tur,2011,53780.6
tur,2012,58946.6
tur,2013,58801
tur,2014,56374.3
tur,2015,59732.6
tur,2016,60287.6
tur,2017,53905.6
tur,2018,44250.2
tur,2019,44477.5
tur,2020,39252.4
tur,2021,34119.3
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
